Product Code,Product Label,"UAE export to south africa Value in 2022, USD thousands","nnual growth in value uae export to south africa between 2018-2022, %, p.a","Share in United Arab Emirates's exports, %",Equivalent ad valorem tariff faced by United Arab Emirates,Quantity exported from uae to south africa in 2022 ,Quantity unit ,Unit value (USD/unit) ,Number of non-tariff requirements faced by United Arab Emirates ,"south africa imports from world Value in 2022, USD thousand ","Annual growth south africa imports from world  in value between 2018-2022, %, p.a. ","Share in world imports, % ",Quantity exported from south africa to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"Uae export to world Value in 2022, USD thousand ","Annual growth in value between 2018-2022, %, p.a. ","UAE Share in world exports, % ",Quantity exported from uae to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"Estimation of untapped potential trade, USD thousand"
20442,"Frozen cuts of sheep, with bone in (excl. carcases and half-carcases)",,,,40,,,,,"4,142",-7,0,"1,395",Tons,"2,969",30,-45,0,"6,131",Tons,"6,259",3
20443,Frozen boneless cuts of sheep,,,,40,,,,,158,-44,0,19,Tons,"8,316",17,-52,0,"2,493",Tons,"8,081",-
20500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",,,0,,,,,,62,,0,40,Tons,"1,550",,,,,Tons,,
20610,Fresh or chilled edible offal of bovine animals,,,,11,,,,,340,18,0,331,Tons,"1,027",87,,0,134,Tons,"4,500",
20621,Frozen edible bovine tongues,,,0,0,,,,,839,-7,0,666,Tons,"1,260",,,,101,Tons,"2,802",
20622,Frozen edible bovine livers,,,,30,,,,,"15,716",-3,4,"14,306",Tons,"1,099",96,26,0,"1,767",Tons,"1,339",
20629,Frozen edible bovine offal (excl. tongues and livers),,,,0,,,,,"27,363",1,1,"15,189",Tons,"1,802","3,829",,0,"3,983",Tons,"1,993",3
20641,Frozen edible livers of swine,,,0,30,,,,,271,8,0,382,Tons,709,,,,214,Tons,696,
20649,"Edible offal of swine, frozen (excl. livers)",,,,0,,,,,"7,473",4,0,"9,614",Tons,777,338,,0,"2,768",Tons,"1,238",
20690,"Frozen edible offal of sheep, goats, horses, asses, mules and hinnies",,,0,0,,,,,"2,491",-2,1,"2,251",Tons,"1,107",,,,"2,530",Tons,"2,447",
20712,"Frozen fowls of the species Gallus domesticus, not cut in pieces",,,,38,,,,,"130,350",10,3,"197,622",Tons,660,176,-18,0,"277,686",Tons,"1,869","1,095"
20713,Fresh or chilled cuts and edible offal of fowls of the species Gallus domesticus,,,0,0,,,,,17,-11,0,9,Tons,"1,889",,,,260,Tons,"6,485",-
20714,Frozen cuts and edible offal of fowls of the species Gallus domesticus,,,,30,,,,,"124,988",-23,1,"162,062",Tons,771,"5,052",-7,0,"265,336",Tons,"2,103","1,617"
20724,"Fresh or chilled turkeys of the species domesticus, not cut in pieces",,,0,0,,,,,51,,0,26,Tons,"1,962",,,,18,Tons,"4,167",
20725,"Frozen turkeys of the species domesticus, not cut into pieces",,,,0,,,,,"1,488",-12,2,523,Tons,"2,845",91,-6,0,391,Tons,"2,703",18
20726,Fresh or chilled cuts and edible offal of turkeys of the species domesticus,,,,0,,,,,147,,0,76,Tons,"1,934",6,,0,47,Tons,"4,468",
20727,Frozen cuts and edible offal of turkeys of the species domesticus,,,,0,,,,,"21,166",-7,2,"12,018",Tons,"1,761",261,-6,0,"2,351",Tons,"2,595",61
20742,"Frozen domestic ducks, not cut in pieces",,,,0,,,,,413,-20,0,138,Tons,"2,993",3,-60,0,"1,140",Tons,"2,847",
20743,"Fatty livers of domestic ducks, fresh or chilled",,,0,0,,,,,42,,0,1,Tons,"42,000",,,,2,Tons,"55,000",
20745,Frozen cuts and edible offal of domestic ducks,,,,0,,,,,43,-34,0,6,Tons,"7,167",11,-42,0,292,Tons,"4,688",
20753,"Fatty livers of domestic geese, fresh or chilled",,,,0,,,,,0,,0,,Tons,,1,,0,,Tons,,
20890,"Fresh, chilled or frozen meat and edible offal of pigeons, game, reindeer and other animals . . .",,,,0,,,,,10,-71,0,4,Tons,"2,500",92,15,0,41,Tons,"12,902",
20910,"Pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, . . .",,,0,0,,,,,"1,637",1,0,"1,472",Tons,"1,112",,,,17,Tons,882,
21011,"Hams, shoulders and cuts thereof of swine, salted, in brine, dried or smoked, with bone in",,,0,15,,,,,37,39,0,4,Tons,"9,250",,,,40,Tons,"12,150",
21012,"Bellies ""streaky"" and cuts thereof of swine, salted, in brine, dried or smoked",,,,15,,,,,24,-48,0,3,Tons,"8,000",8,,0,289,Tons,"4,920",
21019,"Meat of swine, salted, in brine, dried or smoked (excl. hams, shoulders and cuts thereof, with . . .",,,0,15,,,,,"1,163",6,0,101,Tons,"11,515",,,,341,Tons,"9,284",
21020,"Meat of bovine animals, salted, in brine, dried or smoked",,,,40,,,,,338,-25,0,31,Tons,"10,903","8,338",205,3,158,Tons,"12,500",3
21099,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat . . .",,,,40,,,,,134,-35,0,11,Tons,"12,182",117,-15,0,388,Tons,"2,804",
30111,Live ornamental freshwater fish,,,,0,,,,,48,6,0,5,Tons,"9,600",15,,0,0,Tons,,
30119,Live ornamental fish (excl. freshwater),,,,0,,,,,"1,592",1,2,165,Tons,"9,648",2,-42,0,0,Tons,,
30193,"Live carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., . . .",,,0,,,,,,69,240,0,8,,"8,625",,,,,,,
30199,"Live fish (excl. ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, . . .",,,,0,,,,,2,-6,0,0,Tons,,9,,0,0,Tons,,
30211,"Fresh or chilled trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus . . .",,,,25,,,,,"4,171",21,1,892,Tons,"4,676",2,94,0,163,Tons,"10,712",
30213,"Fresh or chilled Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, . . .",,,,25,,,,,0,,0,,Tons,,15,-25,0,1,Tons,"20,000",
30214,"Fresh or chilled Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""",,,,25,,,,,"29,013",22,0,"2,717",Tons,"10,678",51,8,0,"7,261",Tons,"8,951",
30219,"Fresh or chilled salmonidae (excl. trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, . . .",,,,25,,,,,105,209,0,11,Tons,"9,545",200,2,0,159,Tons,"4,686",
30221,"Fresh or chilled lesser or Greenland halibut ""Reinhardtius hippoglossoides, Atlantic halibut . . .",,,,,,,,,0,,0,,,,4,26,0,2,,"20,500",
30223,"Fresh or chilled sole ""Solea spp.""",,,0,0,,,,,14,-23,0,8,Tons,"1,750",,,,28,Tons,"18,036",
30229,"Fresh or chilled flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae . . .",,,0,0,,,,,11,-62,0,5,Tons,"2,200",,,,98,Tons,"7,102",
30231,"Fresh or chilled albacore or longfinned tunas ""Thunnus alalunga""",,,,0,,,,,0,,0,,Tons,,2,-21,0,2,Tons,"24,500",
30232,"Fresh or chilled yellowfin tunas ""Thunnus albacares""",,,,0,,,,,0,,0,,Tons,,2,-50,0,159,Tons,"5,176",
30235,"Fresh or chilled Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)",,,0,0,,,,,22,44,0,1,Tons,"22,000",,,,55,Tons,"26,036",
30239,"Fresh or chilled tunas of the genus ""Thunnus"" (excl. Thunnus alalunga, Thunnus albacares, Thunnus . . .",,,,0,,,,,0,,0,,Tons,,5,-24,0,3,Tons,"5,333",
30243,"Fresh or chilled sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", . . .",,,,0,,,,,0,,0,,Tons,,1,,0,0,Tons,,
30244,"Fresh or chilled mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus""",,,,0,,,,,3,-22,0,7,Tons,429,4,-24,0,7,Tons,"5,857",1
30249,"Fresh or chilled Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus spp."", jacks, . . .",,,,0,,,,,3,-41,0,3,Tons,"1,000",3,-5,0,174,Tons,"6,678",
30251,"Fresh or chilled cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus""",,,0,0,,,,,38,-16,0,18,,"2,111",,,,17,,"12,941",
30254,"Fresh or chilled hake ""Merluccius spp., Urophycis spp.""",,,0,0,,,,,47,-4,0,25,Tons,"1,880",,,,0,Tons,,
30255,"Fresh or chilled Alaska pollack ""Theragra chalcogramma""",,,,,,,,,0,,0,,,,11,,0,,,,
30259,"Fresh or chilled fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, . . .",,,0,0,,,,,4,-50,0,2,,"2,000",,,,20,,"8,600",
30279,"Fresh or chilled, Nile perch ""Lates niloticus"" and snakeheads ""Channa spp.""",,,,0,,,,,5,-48,0,13,Tons,385,30,37,0,72,Tons,"16,639",
30281,Fresh or chilled dogfish and other sharks,,,,,,,,,0,,0,,,,1,,0,0,,,
30284,"Fresh or chilled sea bass ""Dicentrarchus spp.""",,,,0,,,,,85,-49,0,21,,"4,048",15,,0,"2,337",,"7,185",
