Product Code,Product Label,"UAE export to india Value in 2022, USD thousands","nnual growth in value uae export to india between 2018-2022, %, p.a","Share in United Arab Emirates's exports, %",Equivalent ad valorem tariff faced by United Arab Emirates,Quantity exported from uae to india in 2022 ,Quantity unit ,Unit value (USD/unit) ,Number of non-tariff requirements faced by United Arab Emirates ,"india import from world Value in 2022, USD thousand ","Annual growth in value of india import from world between 2018-2022, %, p.a. ","Share in world imports, % ",Quantity exported from india to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"UAE texport to world Value in 2022, USD thousand ","Annual growthof uae export to world in value between 2018-2022, %, p.a. ","Share in world exports, % ",Quantity exported from uae to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"Estimation of untapped potential trade, USD thousand"
283230,Thiosulphates, , , ,8, , , ,6,"1,982",29,1,"1,642",Tons,"1,207",32, ,0,"1,222",Tons,601,4
283311,Disodium sulphate, , , ,8, , , ,2,766,-33,0,"2,290",Tons,334,123,8,0,"32,551",Tons,108,3
283319,Sodium sulphates (excl. disodium), , , ,8, , , ,6,504,-29,0,894,Tons,564,302,-20,1,"1,575",Tons,267,9
283321,Sulphate of magnesium,25, ,26,8,42,No quantity,595,2,820,-16,0,916,No quantity,895,96,5,0,"3,221",No quantity,950,-
283322,Sulphate of aluminium, , , ,8, , , ,4,89,-5,0,215,Tons,414,48,114,0,"4,362",Tons,287,1
283324,Sulphates of nickel, , ,0,8, , , ,2,"10,334",18,1,"1,713",No quantity,"6,033", , , ,14,No quantity,"6,643",
283325,Sulphates of copper, , ,0,8, , , ,2,232,-12,0,71,Tons,"3,268", , , ,67,Tons,"2,970",
283327,Sulphate of barium, , ,0,8, , , ,2,"21,955",14,11,"25,694",Tons,854, , , ,"1,102",Tons,924,
283329,"Sulphates (excl. of sodium, magnesium, aluminium, nickel, copper, barium and mercury)",5,-51,4,8,1,Tons,"5,000",10,"5,487",-20,0,"1,572",Tons,"3,490",120,-54,0,"4,034",Tons,"1,242",
283330,Alums, , , ,8, , , ,8,266,-1,1,271,Tons,982,14,24,0,446,Tons,372,
283340,"Peroxosulphates ""persulphates""",25, ,100,8,16,Tons,"1,563",2,"4,575",4,2,"3,146",Tons,"1,454",25, ,0,"2,008",Tons,"1,389",
283410,Nitrites, , , ,8, , , ,4,"9,741",-6,6,"10,571",Tons,921,8,-35,0,"1,874",Tons,893,82
283421,Nitrate of potassium, , , ,8, , , ,2,554,16,0,372,Tons,"1,489",65,4,0,"34,427",Tons,622,4
283429,Nitrates (excl. of potassium and of mercury),168,-9,66,8,329,Tons,511,8,"10,356",34,2,"13,971",Tons,741,253,14,0,832,Tons,"1,365",
283510,"Phosphinates ""hypophosphites"" and phosphonates ""phosphites""", , , ,8, , , ,6,"15,664",42,4,"4,783",Tons,"3,275",125,16,0,916,Tons,"1,535",36
283522,Mono- or disodium phosphate, , ,0,8, , , ,2,"4,069",3,2,"1,058",Tons,"3,846", , , ,302,Tons,"2,474",
283524,Phosphates of potassium, , , ,8, , , ,2,"6,113",31,1,"2,162",Tons,"2,827",5,-57,0,"2,587",Tons,"2,015",
283525,"Calcium hydrogenorthophosphate ""dicalcium phosphate""", , ,0,8, , , ,2,"11,998",-7,2,"7,857",Tons,"1,527", , , ,"1,625",Tons,"1,489",
283526,"Phosphates of calcium (excl. calcium hydrogenorthophosphate ""dicalcium phosphate"")", , , ,8, , , ,6,"55,337",18,3,"70,727",Tons,782,1,-70,0,"8,307",Tons,"1,069",
283529,"Phosphates (excl. phosphates of monosodium, disodium, potassium, calcium and mercury)", , , ,8, , , ,10,"12,532",8,3,"4,850",Tons,"2,584",10,109,0,"1,108",Tons,"1,535",3
283531,"Sodium triphosphate ""sodium tripolyphosphate"", whether or not chemically defined",772, ,10,8,650,Tons,"1,188",2,"60,017",-3,8,"45,828",Tons,"1,310","7,368",13,1,"2,185",Tons,"1,427",60
283539,"Polyphosphates, whether or not chemically defined (excl. sodium triphosphate ""sodium tripolyphosphate"", . . .",46,-21,28,8,7,Tons,"6,571",2,"33,150",30,3,"10,024",Tons,"3,307",163,25,0,"2,767",Tons,"2,568",
283620,Disodium carbonate,"27,865",250,73,8,"68,342",No quantity,408,6,"206,070",-5,3,"532,762",No quantity,387,"38,337",210,1,"190,252",No quantity,360,-
283630,"Sodium hydrogencarbonate ""sodium bicarbonate""",418, ,36,8,"1,217",Tons,343,2,"7,475",-18,1,"16,541",Tons,452,"1,152",45,0,"10,012",Tons,434,-
283640,Potassium carbonates,52,-49,93,8,48,Tons,"1,083",2,"45,564",15,9,"31,183",Tons,"1,461",56,-43,0,"2,677",Tons,"1,451",-
283650,Calcium carbonate,87,25,1,8,185,Tons,470,2,"164,271",7,15,"1,161,269",Tons,141,"5,960",18,1,"5,832",Tons,347,"3,280"
283660,Barium carbonate, , , ,8, , , ,2,208,76,0,125,Tons,"1,664",12,158,0,"3,010",Tons,657,
283691,Lithium carbonates, , ,0,8, , , ,2,"17,205",0,0,"2,988",Tons,"5,758", , , ,937,Tons,"1,511",
283692,Strontium carbonate,"1,103", ,76,8,659,Tons,"1,674",2,"8,589",24,7,"5,367",Tons,"1,600","1,454", ,6,0,Tons, ,
283699,"Carbonates and peroxocarbonates ""percarbonates""; commercial ammonium carbonate containing ammonium . . .",239,343,88,8,687,Tons,348,8,"49,013",10,5,"35,081",Tons,"1,397",273,104,0,"10,063",Tons,994,-
283711,Sodium cyanide, , ,0, , , , ,,"13,677",-11,1,"6,538",Tons,"2,092", , , , ,Tons, ,
283719,Cyanides and cyanide oxides (excl. sodium and mercury), , ,0,8, , , ,6,"8,997",39,11,0,Tons, , , , ,25,Tons,"9,040",
283720,Complex cyanides (excl. inorganic or organic compounds of mercury), , ,0,8, , , ,12,"4,473",20,8,"2,812",Tons,"1,591", , , ,0,Tons, ,
283911,"Metasilicates of sodium, incl. commercial metasilicates", , , ,8, , , ,2,467,-21,0,513,Tons,910,14,5,0,485,Tons,482,
283919,"Silicates of sodium, incl. commercial silicates (excl. sodium metasilicates)","2,153", ,68,8,"7,586",Tons,284,2,"3,437",30,1,"8,563",Tons,401,"3,182",127,1,"1,064",Tons,667,-
283990,"Silicates, incl. commercial alkali metal silicates (excl. sodium silicates)","7,728",21,97,8,"284,422",Tons,27,4,"14,006",17,4,"302,469",Tons,46,"7,989",22,3,"1,030",Tons,"2,193",-
284011,"Anhydrous disodium tetraborate ""refined borax""", , , ,8, , , ,2,"2,084",5,3,"1,817",Tons,"1,147",1, ,0,0,Tons, ,
284019,"Disodium tetraborate ""refined borax"" (excl. anhydrous)",60,48,100,8,35,Tons,"1,714",2,"61,090",13,6,"103,042",Tons,593,60,44,0,131,Tons,"1,466",-
284020,"Borates (excl. disodium tetraborate ""refined borax"")", , , ,8, , , ,4,"11,062",12,6,"8,383",Tons,"1,320",9,-6,0,477,Tons,"1,629",
284030,"Peroxoborates ""perborates""", , ,0,8, , , ,2,"1,414",3,8,890,Tons,"1,589", , , ,25,Tons,"1,440",
284130,Sodium dichromate,173, ,92,8,72,Tons,"2,403",2,"7,459",-16,4,"3,941",Tons,"1,893",188,-5,0,82,Tons,"2,146",127
284150,Chromates and dichromates; peroxochromates (excl. sodium dichromate and inorganic or organic . . .,114, ,100,8,48,Tons,"2,375",28,427,-19,1,94,Tons,"4,543",114,409,0,0,Tons, ,
284161,Potassium permanganate, , ,0,8, , , ,5,130,-48,0,44,Tons,"2,955", , , ,9,Tons,"2,778",
284169,"Manganites, manganates and permanganates (excl. potassium permanganate)", , ,0,8, , , ,2,"2,839",-7,4,0,Tons, , , , ,4,Tons,"4,000",
284170,Molybdates, , , ,8, , , ,6,323,40,0,14,Tons,"23,071",88,54,0,61,Tons,"19,869",
284180,"Tungstates ""wolframates""", , ,0, , , , ,,73,-46,0,2,Tons,"36,500", , , , ,Tons, ,
284190,"Salts of oxometallic or peroxometallic acids (excl. chromates, dichromates, peroxochromates, . . .", , ,0,8, , , ,2,"10,076",10,0,"1,405",Tons,"7,172", , , ,27,Tons,"26,556",
284210,"Double or complex silicates of inorganic acids or peroxoacids, incl. aluminosilicates whether . . .",164, ,21,8,347,Tons,473,2,"35,345",42,3,"20,222",Tons,"1,748",782,85,0,"1,740",Tons,"2,380",
284290,"Salts of inorganic acids or peroxoacids (excl. of oxometallic or peroxometallic acids, double . . .", , , ,8, , , ,6,"12,889",17,0,"7,941",Tons,"1,623",27,74,0,159,Tons,"5,792",
284310,Colloidal precious metals, , ,0,8, , , ,6,"8,308",60,5,6,Tons,"1,384,667", , , ,0,Tons, ,
284321,Silver nitrate, , , ,8, , , ,2,"4,805",17,2,45,Tons,"106,778",4, ,0,0,Tons, ,
284329,"Silver compounds, inorganic or organic, whether or not chemically defined (excl. of mercury . . .", , ,0,8, , , ,2,"1,520",-11,1,3,No quantity,"506,667", , , ,0,No quantity, ,
284330,"Gold compounds, inorganic or organic, whether or not chemically defined","5,025",335,98,8,0,Tons, ,5,"37,087",17,3,3,Tons,"12,362,333","5,116",-8,0,0,Tons, ,"6,437"
284390,"Inorganic or organic compounds of precious metals, whether or not chemically defined (excl. . . .",30,31,56,8,0,No quantity, ,20,"1,854,330",78,25,141,No quantity,"13,151,277",54,120,0,1,No quantity,"6,789,000",
284420,"Uranium enriched in U 235 and its compounds: plutonium and its compounds; alloys, dispersions, . . .", , , , , , , ,,0, ,0, , , ,788, ,0, , , ,
284440,"Radioactive elements, isotopes and compounds, and alloys and dispersions, incl. cermets, ceramic . . .", , , ,8, , , ,5,0, ,0, ,Tons, ,123,-43,0,0,Tons, ,
284510,"Heavy water ""deuterium oxide"" [Euratom]", , , ,8, , , ,4,0, ,0, ,Tons, ,17, ,0,0,Tons, ,
284590,"Non-radioactive isotopes; inorganic or organic compounds of such isotopes, whether or not chemically . . .", , , ,8, , , ,10,0, ,0, ,Tons, ,6, ,0,0,Tons, ,
284610,Cerium compounds, , ,0,8, , , ,4,"8,748",20,3,706,Tons,"12,391", , , ,7,Tons,"2,857",
284690,"Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium or of mixtures . . .", , ,0,8, , , ,52,"6,414",-8,0,412,Tons,"15,568", , , ,15,Tons,"37,133",205
284700,"Hydrogen peroxide, whether or not solidified with urea",29,-42,34,8,17,No quantity,"1,706",2,"16,545",-26,1,0,No quantity, ,85,-26,0,0,No quantity, ,232
284910,"Carbides of calcium, whether or not chemically defined", , , ,8, , , ,17,"23,997",-6,6,0,Tons, ,34,-20,0,"2,717",Tons,"1,124",209
284920,"Carbides of silicon, whether or not chemically defined",183, ,89,8,110,Tons,"1,664",26,"70,540",10,5,"43,406",Tons,"1,625",206,167,0,"2,924",Tons,"1,306",-
284990,"Carbides, whether or not chemically defined (excl. of calcium or silicon, and inorganic or . . .",1, ,50,8,0,Tons, ,6,"18,667",10,2,934,Tons,"19,986",2,11,0,29,Tons,"40,552",
285000,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined (excl. . . .",9, ,39,8,0,Tons, ,12,"85,316",5,11,"8,230",Tons,"10,366",23,32,0,6,Tons,"26,667",
285210,"Compounds, inorganic or organic, of mercury, chemically defined (excl. amalgams)", , , ,8, , , ,18,616,18,4,0,Tons, ,217,1,3,0,Tons, ,
285290,"Compounds, inorganic or organic, of mercury, not chemically defined (excl. amalgams)", , , ,8, , , ,14,17,-43,0,0,Tons, ,27,211,0,10,Tons,"112,600",
285310,"Cyanogen chloride ""chlorcyan""",87, ,98,8,75, ,"1,160",18,87,-12,2,75, ,"1,160",89,276,6,6, ,"28,500",
285390,"Phosphides, whether or not chemically defined (excl. ferrophosphorus); inorganic compounds, . . .",3, ,0,8,0,Tons, ,18,"9,773",-1,1,"2,046",Tons,"4,777","1,511",63,0,329,Tons,"2,140",
290110,Saturated acyclic hydrocarbons,"1,549", ,100,3,"1,449",Tons,"1,069",2,"996,426",6,12,"1,694,596",Tons,588,"1,554",18,0,"4,240",Tons,"1,533",-
290121,Ethylene,"34,908",103,11,3,"30,843",Tons,"1,132",2,"101,893",7,1,0,Tons, ,"313,204",1,4,"6,830",Tons,"1,006",-
290122,"Propene ""propylene""", , , ,3, , , ,2,"20,618",56,0,"17,982",No quantity,"1,147","97,082",25,1,253,No quantity,"4,245",-
290123,"Butene ""butylene"" and isomers thereof", , , ,3, , , ,2,227,-81,0,43,Tons,"5,279",6,-34,0, ,Tons, ,
290124,"Buta-1,3-diene and isoprene", , , ,3, , , ,2,"11,783",38,0,"8,799",Tons,"1,339","5,091",-64,0,545,Tons,989,
290129,"Hydrocarbons, acyclic, unsaturated (excl. ethylene, propene ""propylene"", butene ""butylene"" . . .","1,737",-13,63,3,989,No quantity,"1,756",45,"242,055",7,7,"131,496",No quantity,"1,841","2,748",-6,0,"20,520",No quantity,"2,124",-
290211,Cyclohexane, , , ,3, , , ,2,"12,436",15,1,"9,783",Tons,"1,271",10,0,0,"1,056",Tons,955,
290219,"Cyclanes, cyclenes and cycloterpenes (excl. cyclohexane)",12,219,92,3,0,Tons, ,2,"121,687",0,9,"32,164",Tons,"3,783",13,113,0,"1,521",Tons,"2,801",33
290220,Benzene, , ,0,3, , , ,2,"7,446",-14,0,0,No quantity, , , , ,1,No quantity,"1,000",-
290230,Toluene,"52,490",4,96,3,"47,891",No quantity,"1,096",5,"615,188",17,18,"568,641",No quantity,"1,082","54,602",4,2,0,No quantity, ,-
290241,o-Xylene, , , ,0, , , ,2,"40,343",12,4,"32,730",Tons,"1,233",40,-77,0,4,Tons,"1,250",-
290242,m-Xylene, , , ,3, , , ,2,"6,877",11,5,"3,806",Tons,"1,807",926,22,1,0,Tons, ,
290243,p-Xylene, , , ,0, , , ,2,"659,092",-11,4,"588,361",Tons,"1,120","2,071",-8,0, ,Tons, ,-
290244,Mixed xylene isomers,205,18,15,3,141,Tons,"1,454",2,"2,374",-2,0,0,Tons, ,"1,357",12,0,32,Tons,"3,938",269
290250,Styrene,1,10,0,2,0,Tons, ,2,"1,210,245",3,11,"1,047,383",Tons,"1,155","1,465",-37,0,"51,886",Tons,"1,218",645
290260,Ethylbenzene, , ,0, , , , ,,"1,263",14,0,612, ,"2,064", , , , , , ,
290270,Cumene, , , ,3, , , ,2,"67,369",208,4,0,Tons, ,"3,326", ,0, ,Tons, ,
290290,"Cyclic hydrocarbons (excl. cyclanes, cyclenes, benzene, toluene, xylenes, styrene, ethylbenzene . . .","4,670",4,72,3,"3,486",Tons,"1,340",12,"73,151",-30,7,"38,740",Tons,"1,888","6,502",11,1,"1,315",Tons,"4,722",-
290311,"Chloromethane ""methyl chloride"" and chloroethane ""ethyl chloride""", , , ,6, , , ,4,"2,757",25,2,"1,690",Tons,"1,631",73,62,0,49,Tons,"3,347",
290312,"Dichloromethane ""methylene chloride""",4,-34,0,8,3,Tons,"1,333",2,"25,660",-8,7,"34,181",Tons,751,"1,695",87,0,"13,310",Tons,738,643
290313,"Chloroform ""trichloromethane""", , , ,8, , , ,2,"6,542",-28,7,"10,513",Tons,622,19, ,0,"3,855",Tons,612,
290314,Carbon tetrachloride, , ,0,5, , , ,7,"3,428", ,15,"3,741",Tons,916, , , ,50,Tons,"2,820",
290315,"Ethylene dichloride ""ISO"" ""1,2 dichloroethane""","3,713", ,100,3,"5,228",Tons,710,4,"426,449",25,24,0,Tons, ,"3,713", ,0,50,Tons,600,
290319,"Saturated chlorinated derivatives of acyclic hydrocarbons (excl. chloromethane [methyl chloride], . . .", , , ,5, , , ,21,"9,586",-5,7,"1,856",Tons,"5,165",69, ,0,168,Tons,"1,673",
290321,"Vinyl chloride ""chloroethylene""", , ,0,5, , , ,2,"558,216",16,14,"521,152",Tons,"1,071", , , ,2,Tons,"2,000",
290322,Trichloroethylene, , ,0,8, , , ,2,"11,267",31,13,"6,384",Tons,"1,765", , , ,501,Tons,"2,405",
290323,"Tetrachloroethylene ""perchloroethylene""", , , ,5, , , ,2,"13,387",19,6,"9,152",No quantity,"1,463",5,-21,0,"5,205",No quantity,"2,069",57
290329,"Unsaturated chlorinated derivatives of acyclic hydrocarbons (excl. vinyl chloride ""chloroethylene"", . . .", , , ,5, , , ,2,"58,026",63,19,"12,527",Tons,"4,632",118, ,0,19,Tons,"8,211",
290331,"Ethylene dibromide ""ISO"" ""1,2-dibromoethane""", , ,0, , , , ,,347,-14,3,58,Tons,"5,983", , , , ,Tons, ,
290339,"Fluorinated, brominated or iodinated derivatives of acyclic hydrocarbons (excluding ethylene . . .", , , ,5, , , ,35,"120,483",4,3,"25,271",Tons,"4,768","2,796",52,0,"20,135",Tons,"4,188",
290371,Chlorodifluoromethane, , , ,5, , , ,7,844,-31,0,264,Tons,"3,197",137,-10,0,"12,382",Tons,"3,029",
290372,Dichlorotrifluoroethanes, , ,0,5, , , ,7,905,-4,3,173,Tons,"5,231", , , ,49,Tons,"12,714",
290373,Dichlorofluoroethanes, , ,0,5, , , ,7,137,-81,1,18, ,"7,611", , , ,"1,111", ,"2,758",
290376,"Bromochlorodifluoromethane, bromotrifluoromethane and dibromotetrafluoroethanes", , , ,5, , , ,21,831, ,3,11,Tons,"75,545",220,-25,1,0,Tons, ,
290377,"Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens, . . .", , , ,5, , , ,112,"5,603",179,6,545,Tons,"10,281",29,-54,0,55,Tons,"5,255",
290378,"Perhalogenated derivatives of acyclic hydrocarbons containing two or more different halogens, . . .", , ,0,5, , , ,3,317,150,0,80,Tons,"3,963", , , ,4,Tons,"2,250",
290379,Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens (excl. . . ., , , ,5, , , ,7,"11,830",28,4,"1,906",Tons,"6,207",30,11,0,199,Tons,"6,794",
290381,"1,2,3,4,5,6-Hexachlorocyclohexane (HCH (ISO)), including lindane (ISO, INN)", , ,0, , , , ,,18,28,2,0,Tons, , , , , ,Tons, ,
290389,"Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons (excl. 1,2,3,4,5,6-Hexachlorocyclohexane . . .", , , ,5, , , ,4,"6,189",35,4,"1,982",Tons,"3,123",5, ,0,0,Tons, ,
290391,"Chlorobenzene, o-dichlorobenzene and p-dichlorobenzene", , , ,5, , , ,6,"5,460",-11,2,"4,348",No quantity,"1,256",60,111,0,535,No quantity,"1,643",
290392,"Hexachlorobenzene (ISO) and DDT (ISO) (clofenotane (INN), 1,1,1-trichloro-2,2-bis(p-chloro . . .", , ,0, , , , ,,602,113,41,151,Tons,"3,987", , , , ,Tons, ,
290394,Hexabromobiphenyls, , ,0, , , , ,,2, ,2,0,No quantity, , , , , ,No quantity, ,
290399,"Halogenated derivatives of aromatic hydrocarbons (excl. chlorobenzene, o-dichlorobenzene, p-dichlorobenzene, . . .", , , ,5, , , ,32,"203,961",20,14,"37,075",Tons,"5,501",1,-54,0,"1,774",Tons,"2,457",
290410,"Derivatives of hydrocarbons containing only sulpho groups, their salts and ethyl esters",8, ,0,5,2,No quantity,"4,000",10,"27,912",5,3,"8,193",No quantity,"3,407","13,973",-8,2,785,No quantity,"1,915","1,553"
290420,Derivatives of hydrocarbons containing only nitro or nitroso groups,131, ,100,5,96,Tons,"1,365",21,"38,722",-2,12,"17,445",Tons,"2,220",131, ,0,78,Tons,"10,538",
290433,Lithium perfluorooctane sulphonate, , ,0, , , , ,,3, ,1,0, , , , , , , , ,
290436,Perfluorooctane sulphonyl fluoride, , ,0, , , , ,,1, ,0,0, , , , , , , , ,
290491,"Trichloronitromethane ""chloropicrin""", , ,0,5, , , ,45,223,-8,1,35, ,"6,371", , , ,0, , ,
290499,"Sulphonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated . . .", , , ,5, , , ,45,"110,616",20,29,"34,924",Tons,"3,167",221,323,0,842,Tons,"2,156",
290511,"Methanol ""methyl alcohol""","70,954",37,12,5,"205,772",Tons,345,2,"985,805",9,7,"2,843,318",Tons,347,"598,712",54,5,0,Tons, ,"4,208"
290512,"Propan-1-ol ""propyl alcohol"" and propan-2-ol ""isopropyl alcohol""",168,-5,22,8,108,Tons,"1,556",4,"147,900",5,8,"137,244",Tons,"1,078",763,-25,0,"24,589",Tons,979,"3,043"
290513,"Butan-1-ol ""n-butyl alcohol""", , , ,8, , , ,2,"44,255",-2,5,0,No quantity, ,761,1,0,"3,562",No quantity,771,377
290514,"Butanols (excl. butan-1-ol ""n-butyl alcohol"")",15,-50,3,8,13,No quantity,"1,154",8,"91,425",8,16,"60,810",No quantity,"1,503",501,-10,0,125,No quantity,"1,856",-
290516,"Octanol ""octyl alcohol"" and isomers thereof", , ,0,8, , , ,6,"70,943",-8,4,"42,120",No quantity,"1,684", , , ,0,No quantity, ,879
290517,"Dodecan-1-ol ""lauryl alcohol"", hexadecan-1-ol ""cetyl alcohol"" and octadecan-1-ol ""stearyl alcohol""", , , ,8, , , ,2,"17,027",32,2,"5,390",Tons,"3,159",19,90,0,"2,038",Tons,"2,763",
290519,"Saturated monohydric acyclic alcohols (excl. methanol ""methyl alcohol"", propan-1-ol ""propyl . . .",242,-15,87,8,106,Tons,"2,283",6,"214,469",12,9,"102,130",Tons,"2,100",279,-13,0,0,Tons, ,535
290522,Acyclic terpene alcohols, , , ,8, , , ,10,"57,608",1,11,"7,179",No quantity,"8,025",3,-58,0,116,No quantity,"9,724",
290529,Unsaturated monohydric acyclic alcohols (excl. acyclic terpene alcohols), , ,0,8, , , ,2,"14,416",15,2,"1,402",Tons,"10,282", , , ,69,Tons,"9,435",
290531,"Ethylene glycol ""ethanediol""","15,971",-14,74,8,"28,939",Tons,552,2,"812,464",9,8,"1,407,200",Tons,577,"21,610",-58,0,183,Tons,"1,290",-
290532,"Propylene glycol ""propane-1,2-diol""","2,576",74,52,8,"1,735",Tons,"1,485",2,"136,994",15,5,"62,324",Tons,"2,198","4,951",80,0,"18,140",Tons,"2,078",-
290539,"Diols (excl. ethylene glycol ""ethanediol"" and propylene glycol ""propane-1,2-diol"")","3,421",27,93,8,"6,171",Tons,554,4,"144,615",22,4,"80,090",Tons,"1,806","3,685",15,0,0,Tons, ,-
290541,"2-Ethyl-2-""hydroxymethyl"" propane-1,3-diol ""trimethylolpropane""",315,457,85,8,160,Tons,"1,969",2,"13,377",7,4,"4,312",Tons,"3,102",371,78,0,368,Tons,"1,845",
290542,Pentaerythritol,229,49,100,8,314,Tons,729,4,"34,029",-1,7,"17,115",Tons,"1,988",229,19,0,"3,828",Tons,"1,901",
290543,Mannitol, , , ,20, , , ,2,"33,391",8,11,"7,577",Tons,"4,407",67, ,0,141,Tons,"4,241",
290544,"D-glucitol ""sorbitol""", , , ,20, , , ,2,"7,679",7,1,"5,748",No quantity,"1,336",386,36,0,"13,899",No quantity,670,93
290545,Glycerol,1,-44,0,8,0,Tons, ,2,"85,539",16,3,"58,871",Tons,"1,453","3,479",-14,0,0,Tons, ,371
290549,"Tri- and other polyhydric acyclic alcohols (excl. 2-ethyl-2-""hydroxymethyl"" propane-1,3-diol . . .",20,8,8,8,200,No quantity,100,2,"17,955",6,3,"3,341",No quantity,"5,374",241,98,0,71,No quantity,"5,563",
290551,"Ethchlorvynol ""INN""", , , , , , , ,,0, ,0, , , ,30, ,6,0, , ,
290559,"Halogenated, sulphonated, nitrated or nitrosated derivatives or acyclic alcohols (excl. ethchlorvynol . . .",22, ,16,8,2,Tons,"11,000",3,"18,773",77,6,"1,835",Tons,"10,231",140, ,0,118,Tons,"7,288",
290611,Menthol,1, ,33,8,0,Tons, ,2,"45,479",37,6,"3,551",Tons,"12,807",3,-18,0,87,Tons,"18,264",-
290612,"Cyclohexanol, methylcyclohexanols and dimethylcyclohexanols",70,83,96,8,21,Tons,"3,333",2,774,-10,0,219,Tons,"3,534",73,84,0,43,Tons,"3,140",
290613,Sterols and inositols, , ,0,8, , , ,4,"12,373",-9,1,467,Tons,"26,495", , , ,49,Tons,"22,265",
290619,"Cyclanic, cyclenic or cycloterpenic alcohols and their halogenated, sulphonated, nitrated or . . .", , , ,8, , , ,4,"46,790",7,7,"1,838",Tons,"25,457",45,-48,0,294,Tons,"17,401",-
290621,Benzyl alcohol, , ,0,8, , , ,2,"2,313",-5,1,376,No quantity,"6,152", , , ,"1,420",No quantity,"2,459",
290629,"Aromatic cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives . . .", , , ,8, , , ,6,"62,378",26,21,"2,712",Tons,"23,001",15,25,0,42,Tons,"6,571",
290711,"Phenol ""hydroxybenzene"" and its salts", , ,0,8, , , ,4,"309,068",2,9,"211,837",No quantity,"1,459", , , ,"6,125",No quantity,"1,545",70
290712,Cresols and their salts, , ,0,8, , , ,6,"47,473",12,14,"15,186",Tons,"3,126", , , ,0,Tons, ,
290713,"Octylphenol, nonylphenol and their isomers; salts thereof", , , ,8, , , ,2,"12,086",10,8,"4,899",Tons,"2,467",3,-54,0,"2,752",Tons,"2,339",147
290715,Naphthols and their salts, , , ,8, , , ,6,"61,505",8,53,"20,836",No quantity,"2,952",40, ,0,51,No quantity,"2,059",
290719,"Monophenols (excl. phenol ""hydroxybenzene"" and its salts, cresols and their salts, octylphenol, . . .", , , ,8, , , ,12,"58,994",-8,6,"20,752",Tons,"2,843",3,-53,0,332,Tons,"5,262",40
290721,Resorcinol and its salts, , ,0,8, , , ,2,"38,593",-6,13,"4,719",Tons,"8,178", , , ,71,Tons,"6,901",
290722,"Hydroquinone ""quinol"" and its salts", , ,0,8, , , ,2,"75,807",3,22,"7,891",Tons,"9,607", , , ,66,Tons,"13,545",27
290723,"4,4'-Isopropylidenediphenol ""bisphenol A, diphenylolpropane"" and its salts", , ,0,8, , , ,2,"158,356",14,8,"77,653",Tons,"2,039", , , ,"9,174",Tons,"1,775",
290729,"Polyphenols and phenol-alcohols (excl. resorcinol and hydroquinone ""quinol"" and their salts, . . .", , ,0,8, , , ,4,"18,852",-17,3,"2,949",Tons,"6,393", , , ,923,Tons,"9,549",
290811,"Pentachlorophenol ""ISO""", , ,0, , , , ,,1, ,0,0, , , , , , , , ,
290819,"Derivatives containing only halogen substituents and their salts, of phenols or phenol-alcohols . . .",109, ,98,8,11,Tons,"9,909",4,"23,379",13,2,"8,738",Tons,"2,676",111,9,0,815,Tons,"8,928",
290899,"Halogenated, sulphonated, nitrated or nitrosated derivatives of phenols or phenol-alcohols . . .", , , ,8, , , ,42,"13,610",-6,13,"2,734",Tons,"4,978",8, ,0,82,Tons,"10,341",
290911,Diethyl ether, , ,0,8, , , ,5,815,5,2,340,Tons,"2,397", , , ,0,Tons, ,
290919,"Acyclic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives (excl. . . .", , , ,8, , , ,2,"44,963",14,0,"7,848",Tons,"5,729","47,716",-6,0,"53,980",Tons,904,"3,090"
290920,"Cyclanic, cyclenic or cycloterpenic ethers and their halogenated, sulphonated, nitrated or . . .", , ,0,8, , , ,2,"3,854",-2,5,302,Tons,"12,762", , , ,12,Tons,"23,333",
290930,"Aromatic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives",2,-75,7,8,0,Tons, ,30,"29,626",-21,3,"3,029",Tons,"9,781",27,-61,0,790,Tons,"14,614",-
290941,"2,2'-Oxydiethanol ""diethylene glycol, digol""","4,253",132,73,8,"5,577",Tons,763,2,"22,597",55,2,"33,217",Tons,680,"5,818",-47,1,"3,293",Tons,"1,074",-
290943,Monobutyl ethers of ethylene glycol or of diethylene glycol,"3,110",22,80,8,"1,737",Tons,"1,790",2,"82,279",27,7,"40,274",Tons,"2,043","3,864",16,0,"5,384",Tons,"1,663","2,377"
290944,Monoalkylethers of ethylene glycol or of diethylene glycol (excl. monobutyl ethers),31, ,30,8,17,Tons,"1,824",2,"5,216",3,2,"1,994",Tons,"2,616",105,-25,0,"3,314",Tons,"1,389",287
