company name,contact number,area,company description
شركة الشوف للصناعات الخرسانية.. .خلاطة....,218 91-5009797,"X4XG+MFC، Unnamed Road, بنغازي،",شركة الاستيراد والتصدير
شركة المسار المتميز لاستيراد المواد الغذائية ALMASAR ALMUTAMYEZ ltd,218 91-5059633,"V6H4+73R، بن عاشور،",شركة الاستيراد والتصدير
استيراد مركبات النقل للركاب والبضائع,218 91-5113138,"حي اشبيليا, الطريق السريع",شركة الاستيراد والتصدير
مجموعة البراري لاستيراد المواد الغذائية,218 91-5299110,"شارع الخرطوم،",شركة الاستيراد والتصدير
شركة روافد ليبيا للتصدير و الاستيراد,218 91-5435319,,شركة الاستيراد والتصدير
شركة بوهليل لاستيراد مواد البناء,218 91-5534103,3WQP+3VQ,شركة الاستيراد والتصدير
شركة التوسان لمعدات الورش,218 91-5538788,"بوابة الجبس بجانب وزارة الكهرباء، ليبيا",شركة الاستيراد والتصدير
شركة دروب العالم لإستيراد فلاتر وزيوت السيارات,218 91-5782639,FFHR+4MQ,شركة الاستيراد والتصدير
الجودة 2 لقطع غيار السيارات الألمانية,218 91-5813913,"PPWF+HHF، Unnamed Road،",شركة الاستيراد والتصدير
شركة الطاقة الحديثة,218 91-5915050,83XH+26H,شركة الاستيراد والتصدير
الرفاق الجدد للاستيراد,218 91-5975318,,شركة الاستيراد والتصدير
Alkhebra group importing & Distribution,218 91-5977770,Commodity Supply Complex,شركة الاستيراد والتصدير
Winning Tires and Oils Car Company,218 91-5998755,"موقف السيارات (المختبر الطبي المرجعي، طرابلس شارع الزاوية - أمام",شركة الاستيراد والتصدير
ALBURHAN INTERNATIONAL COMPANY,218 91-6480606,شارع ابن مطروح,شركة الاستيراد والتصدير
شركة الميسم الدولية,218 91-6633399,84HV+M27,شركة الاستيراد والتصدير
مكتب 911 لاستيراد السيارات,218 91-6669911,خلف صيدلية بوزريبة,شركة الاستيراد والتصدير
شركة المغرب العربي للتبريد والتكييف,218 91-6990120,Jamal Abdulnasser St,شركة الاستيراد والتصدير
شركة الجودة الرائدة,218 91-7101524,"مصنع الريحان, بوعطني - طريق المطار - بجانب",شركة الاستيراد والتصدير
ليبيا الغرب لاستيراد الاخشاب والمسطحات,218 91-7154925,"محطة وقود ابوكيل، نعيمة الطريق الساحي جوار",شركة الاستيراد والتصدير
مطحن باله للبن,218 91-7404573,"33MR+H5H, First Ring Rd",شركة الاستيراد والتصدير
شركة دار المزاد,218 91-7550606,"V5QR+4C8، خلف قصر الملك،",شركة الاستيراد والتصدير
شركة الرصيفة العالمية للرخام والجرانيت مصرانة,218 91-7661575,953M+6QH,شركة الاستيراد والتصدير
استيراد الفواكه الطازجة,218 91-8099261,,شركة الاستيراد والتصدير
الشركةالعالمية المكينه الخياطه,218 91-8617919,44G2+FRC,شركة الاستيراد والتصدير
شركة وادي الزعتر,218 91-8762155,شارع الحرية,شركة الاستيراد والتصدير
شركة الهتان لإستراد المواد الغذائية و التنظيف,218 91-8788896,Wardamh Rode,شركة الاستيراد والتصدير
شركة نسمة Nessma Company,218 91-8829622,مقابل عيادة الخليج بجانب سوق المائدة,شركة الاستيراد والتصدير
شركة الرمال الأولي,218 91-9024549,"FHP3+GVH، حي البازة،، زليتن،",شركة الاستيراد والتصدير
شركة الرواد لإستيراد السيارات من امريكا و كندا,218 91-9090452,"جزيرة العلم، مصراته بالقرب من",شركة الاستيراد والتصدير
شركة هانيبال,218 91-9251554,"V5PR+VGG, شارع الشوق",شركة الاستيراد والتصدير
الانظمة الدقيقة - مبيعات زناته,218 91-9422460,زناته الجديده,شركة الاستيراد والتصدير
شركة المحور الطبي لاستيراد المستلزمات والمعدات الطبية,218 91-9603787,"V5HX+5CC، Unnamed Road، طرابلس،",شركة الاستيراد والتصدير
شركة الطائر الابيض لاستيراد المواد الغدائيه فرع زليتن,218 91-9771700,"FHH6+FHW، شارع البازة، زليتن،",شركة الاستيراد والتصدير
شركة نسمة الموزع الرسمي لمنتجات شركة دايكن DAIKIN اليابانية,218 91-9993068,"تم الانتقال مؤقتا إلى طريق قصور الضيافه طرابلس، شارع ابو هريدة",شركة الاستيراد والتصدير
Modern House,218 92-0105379,Fourth Ring Rd,شركة الاستيراد والتصدير
شركة الغدير العالمية,218 92-1000091,,شركة الاستيراد والتصدير
KONICA MINOLTA LIBYA,218 92-1201216,"V5RM+42C, Haiti St",شركة الاستيراد والتصدير
شركة النجمة الماسية للصالونات العربية والافرنجية والفرش الارضى والعجمي,218 92-1572528,سوق المصرية مقابل جامع ارض الحراسة,شركة الاستيراد والتصدير
شركة نبات الوادي وشركة دورماكس(لأبناء بن خليل),218 92-2133686,"FH52+QQ5, الطريق الساحلي من قرب الجسر زليتن",شركة الاستيراد والتصدير
البيت الحديث,218 92-3025505,"QP4Q+H32, شارع العروبة /بجانب جامع بلال بن رباح/ بجانب مصرف الجمهورية",شركة الاستيراد والتصدير
BIN ZAHIA.CO,218 92-3150315,ALBAZA STREET,شركة الاستيراد والتصدير
شركة المتميزون لاستيراد مواد البناء و المواد الصحية,218 92-3171111,,شركة الاستيراد والتصدير
شركة الديوان - Al Diwan Company,218 92-3650411,"شارع، خالد أبن الوليد",شركة الاستيراد والتصدير
شركة آلما لإستيراد الأدوية والمعدات الطبية,218 92-3886007,"الشيل العسكري, بن يونس مقابل",شركة الاستيراد والتصدير
شركة لاڤيتا - La Vita Company,218 92-4003339,"V5JH+J4 طرابلس 32.8814976, 13.1778012",شركة الاستيراد والتصدير
شركة عالم التكنولوجيا الحديثة,218 92-4315956,"34VQ+W8F، طريق النهر",شركة الاستيراد والتصدير
شركة عجمان العالمية لاستيراد السيارات,218 92-4324630,Q6C5+V6W,شركة الاستيراد والتصدير
شركة القلادة الذهبية,218 92-4511837,"https://www.google.com/maps/@30.7809677,20.2284235,168m/data=!3m1!1e3",شركة الاستيراد والتصدير
شركة ابناء ادحيدح للرخام والجرانيت,218 92-4863646,المنطقه الصناعيه,شركة الاستيراد والتصدير
جنات الخيرات لتصدير واستيراد المواد الغدائيه واللحوم,218 92-5000925,,شركة الاستيراد والتصدير
طروش لقص وتركيب الزجاج,218 92-5080068,"QP2P+8G3، شارع القرضابية، الزاوية،",شركة الاستيراد والتصدير
شركه كنده للاستراد السيارات و الاطارات والنضائد وقطع الغيار,218 92-5103665,43PM+27F,شركة الاستيراد والتصدير
شركة الربيع لصناعة الطلاء والمهاجين,218 92-5200051,V6V5+M4M,شركة الاستيراد والتصدير
شركة عمر المختار للصرافه ونقل الركاب,218 92-5449322,"QP5H+PW7، حي رويفع الانصاري،",شركة الاستيراد والتصدير
"شركة رسيل لزيوت المحركات فرع شارع الكنيسة، السراج",218 92-5564142,"شارع الكنيسة، السراج",شركة الاستيراد والتصدير
شركة السلفيوم لاستراد الادوية والمعدات البيطريه,218 92-5571546,,شركة الاستيراد والتصدير
شركة الاصيل لاستيراد مواد التنظيف بالجمله,218 92-5768503,,شركة الاستيراد والتصدير
كوالتي كلين,218 92-5898203,"V33W+QXC، Unnamed Road, طرابلس،",شركة الاستيراد والتصدير
شركة الانطلاقه لأستراد السيارات الكوريه و الاوروبيه و الامريكيه,218 92-5997380,"العروبة،",شركة الاستيراد والتصدير
شركة رمال طرابلس لاستيراد قطع الغيار,218 92-6122426,,شركة الاستيراد والتصدير
شركة رمال طرابلس لاستيراد قطع الغيار,218 92-6122426,,شركة الاستيراد والتصدير
عوين للعطور,218 92-6177685,,شركة الاستيراد والتصدير
شركة العلامة الماسية,218 92-6787800,"الزاوية - شارع الجملة - طريق، الخياطين",شركة الاستيراد والتصدير
Dhabi Group Headquarter,218 92-7003333,Al mashtal street,شركة الاستيراد والتصدير
عالم السيارات لإستيراد السيارات الأمريكية,218 92-7165493,93HR+XHX المقاوبة,شركة الاستيراد والتصدير
شركة كرمان الدولية,218 92-7198826,"بالقرب من مسجد الكميشي، غريان / تغسات",شركة الاستيراد والتصدير
محل علي الشاوش,218 92-7264034,"446F+238، Unnamed Road, بنغازي،",شركة الاستيراد والتصدير
شركة الهضاب لأستيراد معدات الزراعة,218 92-7354289,,شركة الاستيراد والتصدير
قواعد ألواثقة,218 92-7354289,,شركة الاستيراد والتصدير
شركة المنصور للتعهدات التموينية,218 92-7794508,44QQ+273,شركة الاستيراد والتصدير
شركة القاذف الفضي,218 92-8003095,,شركة الاستيراد والتصدير
شركة نسمة الريف لتسويق المواد الغذائية,218 92-8374145,"V7JJ+2WG، طريق عرادة، طرابلس،،،",شركة الاستيراد والتصدير
Alqatarat For ceramic,218 92-8880808,خدمات,شركة الاستيراد والتصدير
استيراد اثاث,218 92-8921441,,شركة الاستيراد والتصدير
محلات التركي,218 94-2709858,طريق عرادة,شركة الاستيراد والتصدير
شركة المستقبل الرائد للرخام والجرانيت بنغازي فرع القوارشة,218 94-2841264,بنغازي -القوارشة بعد جزيرة الانابيب,شركة الاستيراد والتصدير
محل valvoline لزيوت المحركات,218 94-4039539,"V8C3+RQ4، برج البيفي،, Second Ring Rd",شركة الاستيراد والتصدير
خيرات لاستيراد المواد الغذائية,218 94-4857988,بوعطني,شركة الاستيراد والتصدير
شركة اسلنطة للاستيراد التصدير,,34V2+653,شركة الاستيراد والتصدير
شركة الريشة الذهبية لاستيراد وتوزيع المواد الغذائيه,,,شركة الاستيراد والتصدير
Ocean Company,,"847J+MJ3، الحامية",شركة الاستيراد والتصدير
شركة الزيتونة الخضراء,,"9338+C9J، Unnamed Road, مصراتة‎،",شركة الاستيراد والتصدير
شركة المستقبل الحديث لإستيراد المواد الغذائية,,924Q+QJV,شركة الاستيراد والتصدير
شركة أبراج المدينة للجبس بورد والاسقف المعلقه,,"V77R+RR9, طريق القدس",شركة الاستيراد والتصدير
شركة التواصل,,"936X+4X3، شارع سعدون السويحلي",شركة الاستيراد والتصدير
شركة الجودة العالية,,"R4J6+PQ3، طريق الدعوة الاسلامية",شركة الاستيراد والتصدير
شركة المروة الحديثة,,"B3، طرابلس،",شركة الاستيراد والتصدير
شركة ليتشي لإستيراد المواد الغذائية,,"V763+7VQ، Unnamed Road, طرابلس،",شركة الاستيراد والتصدير
Ajmamh company to import food,,QQF5+JFX,شركة الاستيراد والتصدير
شركة السيف المهند,,"743F+VRJ، الطريق الساحلي، مصراتة‎،",شركة الاستيراد والتصدير
ZOOM شركة رائدة كاميرات المراقبة,,"V43V+MPQ، الحي الصناعي،",شركة الاستيراد والتصدير
شركة الوسام الذهبي المقر الادارى,,"V6P8+R9G، شارع أحمد رفيق المهدوي",شركة الاستيراد والتصدير
اسكو الملاحية - ASCO SHIPPING,,جامع الشيخ,شركة الاستيراد والتصدير
شركة المتانة الحديثة للاطارات والنضائد,,"V8FM+R74, Second Ring Rd",شركة الاستيراد والتصدير
شركه ابراج ليبيا,,"246G+QR9، الفويهات،",شركة الاستيراد والتصدير
شركة الراوي للمضخات والمواد الزراعية,,"V78G+252، طريق السبعة، طرابلس،",شركة الاستيراد والتصدير
شركة الجيل القادم لإستيراد الأدوية و المعدات الطبية - فرع بنغازي,,"34P2+VGQ، الفويهات الشمالي،",شركة الاستيراد والتصدير
شركة قرناب للزيوت والشحوم,,"5JV6+552، طريق الشط، سرت،",شركة الاستيراد والتصدير
شركة التوافق الدائم لإستيراد المواد الغذائية,,"الرحمن، شارع عباد",شركة الاستيراد والتصدير
شركة شحات للملاحة البحرية,,QJFV+3W3,شركة الاستيراد والتصدير
شركة النخلتين,,"R2JV+G35، طريق الغيران الزراعي، طرابلس،،",شركة الاستيراد والتصدير
شركة الرحماني,,3VPG+87,شركة الاستيراد والتصدير
شركة أمازون للحوم المجمدة,,"54HQ+34P، Unnamed Road, بنغازي،",شركة الاستيراد والتصدير
شركة الزاوية للمستلزمات والمعدات الزراعية,,QM5Q+WWC,شركة الاستيراد والتصدير
شركة الصداره 3,,"Unnamed Road, إجدابيا،",شركة الاستيراد والتصدير
شركة الهناء الحديثه لاستراد الاثاث والديكور,,"V6G8+PGP, Sharia al-Jala'a",شركة الاستيراد والتصدير
شركة السلفيوم الوطنية لاستيراد المعدات الطبية و مستلزماتها,,"44C3+J9F، شارع سوريا ، بنغازي ،",شركة الاستيراد والتصدير
شركة الإخلاص للإطارات و النضائض,,"FG7C+XVW، حــي الغـــويـــــــــــلات،",شركة الاستيراد والتصدير
فلاي,,"V4HV+HRV، مركز بوابة حي الأندلس ، طرابلس ،",شركة الاستيراد والتصدير
شركة كرستال لاستيراد المواد الكهربائية,,"457F+P2H، Unnamed Road, بنغازي،",شركة الاستيراد والتصدير
شركة النهضة الليبية لاستيراد وسائل النقل المختلفة وقطع غيرها,,74V9+RV6,شركة الاستيراد والتصدير
إدارة شركة الربيع للأثاث و المنسوجات,,"CJPQ+7MV، Unnamed Road, زليتن،",شركة الاستيراد والتصدير
شركة شيناه,,"34J4+JPH، الفويهات الشمالي،، بنغازي،",شركة الاستيراد والتصدير
ويكس wyx الموجة الجديدة,,"947M+52R، مصراتة‎،",شركة الاستيراد والتصدير
شركة الاخوة المبدعون لاستيراد مواد البناء,,"R4J6+P28، طريق الدعوة الاسلامية",شركة الاستيراد والتصدير
شركة البناء المتين لإستيراد مواد البناء,,"الحرشة،",شركة الاستيراد والتصدير
شركة الكوف لاستيراد المواد الغذائية,,24C3+VJC,شركة الاستيراد والتصدير
شركة الجراري للتجارة العامة,,3XHH+J2J,شركة الاستيراد والتصدير
شركة البتول العالمية,,43GX+9C9,شركة الاستيراد والتصدير
شركة النهظة الليبية,,74V9+RRH,شركة الاستيراد والتصدير
شركة محمود سعيد,,83GX+6PJ,شركة الاستيراد والتصدير
شركة عاصمة الأعمار,,83WH+JRM,شركة الاستيراد والتصدير
شركة الكندي لتسويق مستلزمات الام والطفل وحليب وحفاظات الأطفال,,QJ6Q+QRV,شركة الاستيراد والتصدير
Hatching Eggs Imports,,Khalifa Azzaydi St,شركة الاستيراد والتصدير
Melkiperium,,"Adnan Kahveci Blv. 13, 3403",شركة الاستيراد والتصدير
شركه ينابيع الخير لاستيراد المواد الغذائيه,,"24J2+42، بنغازي،،",شركة الاستيراد والتصدير
شركة اكلين,,"33XQ+M57، الماجوري - شارع الفاتح امتداد شارع عبد الجليل، Benghazi, بنغازي،",شركة الاستيراد والتصدير
شركة زهرة الديزي,,"34P8+4XQ، البركة،",شركة الاستيراد والتصدير
شركة الاسطورة العالمية,,"4483+2HW، شارع العراق، خلف مستشفى العسكري",شركة الاستيراد والتصدير
شركة الضواحي الباهرة لاستيراد المواد الغدائية,,"7GH9+CH3, الاستقلال",شركة الاستيراد والتصدير
شركة تبراج النعيم,,"925R+6PX، الطريق الساحلي،",شركة الاستيراد والتصدير
شركه العالميه الاولي الاخشاب والمسطحات,,"P6RH+PXX، الحي الصناعي،",شركة الاستيراد والتصدير
شركة عابرات الرمال لاستراد السيارات وقطع الغيار,,"QP2Q+W8P، حي السوق القديم،",شركة الاستيراد والتصدير
شركة غوط البوصالي لاستيراد الاثاث,,"QP5P+7MQ، حي السوق القديم،",شركة الاستيراد والتصدير
المكتب الامريكي لاستيراد السيارات,,"QP5P+X6C، شارع عمر المختار، الزاوية،",شركة الاستيراد والتصدير
المسار السريع لاستيراد المواد الغذائية,,"V5RP+F9M، ميدان الجزائر",شركة الاستيراد والتصدير
شركة نجم الشرق الحديثة,,"V68P+3PW، الحشان،",شركة الاستيراد والتصدير
شركة بحر الرمال,,"V6QV+W32، عمرو بن العاص،",شركة الاستيراد والتصدير
شركة بركة الاندلس لاستيراد الادوية والمستحضرات الطبية,,"V6V9+4R7، طرابلس،",شركة الاستيراد والتصدير
شركة روعة الشياكة لاستيراد المواد الغذائية و المواشى و اللحوم,,"الجامعة الاسمرية, شارع الشيخ بجانب",شركة الاستيراد والتصدير
معرض الجودة الفائقة,,الفعكات,شركة الاستيراد والتصدير
شركه ابراج ليبيا لبيع حديد التسليح والأسمنت,,"الفويهات،",شركة الاستيراد والتصدير
شركة إيثار لإستيراد السيارات وقطع الغيار الأمريكية,,"طريق 20 رمضان، طرابلس،",شركة الاستيراد والتصدير
الكترو ليبيا,,قرب مدخل مصراته الشرقي,شركة الاستيراد والتصدير
Sorouh Company For Importing Building Materials,,"كوبري الثلاجات، السراج طريق",شركة الاستيراد والتصدير
شركة رتاج الدولية,,"34R2+H72، Unnamed Road",شركة الاستيراد والتصدير
شركة الشرارة بنغازي لإستيراد السجاد والموكيت,,35MG+42,شركة الاستيراد والتصدير
السلمانيالشرقي,,44G2+HPG,شركة الاستيراد والتصدير
شركة اللمسة الملكية للتجارة العامة والالات الثقيلة,,7GH9+CH3,شركة الاستيراد والتصدير
محلات المزرعة للمواد الغذائية بالجملة ( الشركسي ),,7GH9+CH3,شركة الاستيراد والتصدير
Alyakuta group company,,83GX+6PJ,شركة الاستيراد والتصدير
شركةرياض ليبيا لاستيراد وتوزيع المواد الغذائيه (مصراتة),,92CV+924,شركة الاستيراد والتصدير
مجموعة التاج,,953J+P5,شركة الاستيراد والتصدير
شركة وردة الريحان,,CH4P+XM,شركة الاستيراد والتصدير
مزاد الفورتي لاستيراد السيارات,,FH96+7J5,شركة الاستيراد والتصدير
Qixin,,"PQF4+V9V، PQG4+7CP، الزاوية،",شركة الاستيراد والتصدير
شركة شجرة الديكور,,QP4H+653,شركة الاستيراد والتصدير
International Investment Company for Importing Foodstuff,,"QP6V+P6R, Abraq Rd",شركة الاستيراد والتصدير
شركة القمة للاعمال الكهربائية,,"QQ4G+2MJ، Unnamed Road, البيضاء،، البيضاء،",شركة الاستيراد والتصدير
Libyan alreef company,,"R5VH+836، Pepsi cola،",شركة الاستيراد والتصدير
الربيانه,,"R5W8+GP2، Bouslim، طرابلس،",شركة الاستيراد والتصدير
شركة السلفيوم للمواد التنظيف والتجميل,,"R6QV+5FF، Fornage Mosque Road،",شركة الاستيراد والتصدير
Al-Ahliya Co. For Importing Foodstuffs,,V44R+7QF,شركة الاستيراد والتصدير
شركة المتجر لاستيراد البضائع المتنوعة,,V4FJ+M8G,شركة الاستيراد والتصدير
Whathekoun,,V5PJ+2WV,شركة الاستيراد والتصدير
خشب,,"V5QC+RH9, Omar Almukhtar Rd",شركة الاستيراد والتصدير
Toyor Oya Company,,V5RX+C3F,شركة الاستيراد والتصدير
V5,,"V64P+2VC, Tariq Zanatah",شركة الاستيراد والتصدير
شركة سيلفيوم للسيارات - مكتب طرابلس,,"V6WW+X53, 20th Ramadan Rd",شركة الاستيراد والتصدير
شركة التاج لإستيراد الأثاث المكتبي,,"V7CX+7G6, Second Ring Rd",شركة الاستيراد والتصدير
شكركة الفخر والفخامة لإستيراد السيارات,,W63M+R4X,شركة الاستيراد والتصدير
كنزي لاستيراد الادوية والمعدات الطبية,,,شركة الاستيراد والتصدير
بنغازي,,"33G2+X23، جليانة،",شركة إنشاء
:شركة رمال القمة لاستيراد السيارات والشاحنات وقطع الغيار المحدودة,218 91-3702033,,شركة أتمتة
شركة القيروان الدوائية,218 21-7132196,V6H4+735,شركة أدوية
شركة النسر لإستيراد الأدوية و المستلزمات الطبية,218 91-0033748,"V5MJ+Q9J, Al Nasr St",شركة أدوية
شركة المشيرقي لأستيراد الادوية والمعدات والمستلزمات الطبية ذ.م.م‏,218 91-2135630,,شركة أدوية
شركة الاكتفاء العالمي,218 91-2145580,Al -Shat Rd,شركة أدوية
Tripoli International Company for the import of medicines and medical equipment,218 91-3377655,"V5GW+XHF, Bin Ashour St",شركة أدوية
شركة دلتا و دنيا العالمية لاستيراد الادوية و مستلزمات الام والطفل,218 91-5462139,"33HQ+56X، Unnamed Road، بنغازي،",شركة أدوية
شركة علمية متطورة لاستيراد الأدوية والمعدات الطبية,218 92-8583052,"مصحة الليبي الأوروبي, شارع الشجر مقابل",شركة أدوية
ALTAKNIA ALDAWLIA Co Tdpharma,218 94-4888782,V6W9+H6,شركة أدوية
شركة الاهتمام لاستيراد الادوية والمعدات الطبية,,"بلعون، بنغازي،، بنغازي،",شركة أدوية
شركة ثنكر للتجارة و الاستيراد من الصين الي ليبيا - thinker ly,218 91-3122230,"مجمع التقنية مول للإلكترونات، في طريق المدخل الشرقي لمدينة الزاوية - داخل",شركة شحن
معرض القزيري لاستيراد السيارات الامريكيه,218 91-3292160,"معرض القزيري للاستيراد السيارات الامريكيه، مصراتة‎،",شركة شحن
شركة أركان لاستيراد المواد الغذائية,218 94-4555666,"337R+FJX، الطريق الدائري الرابع، بنغازي،",شركة شحن
شركة الجبال للشحن,218 94-6191000,"شارع الجمهورية ، ميدان القادسية ، بالقرب جامعة الرفاق ، طرابلس ،",شركة شحن
شركة التوافق للادوية والمعدات الطبية,218 91-1943003,"V5CV+R2G، شارع الجلاء، طرابلس،",صيدلية
جهاز الامداد الطبي,,V6G9+G74,صيدلية
شركة ياسمين لبيع و استيراد الأدوية,,"V429+8F8، الشارع الكبير، طرابلس،",صيدلية
شركة ارزاق لاستراد الادوية والمعدات الطيية,,"V6MP+6GF، Unnamed Road،،",صيدلية
شركة السبق لي إستيراد الأدوية ولمستلزمات ومعدات الأم والطفل,218 92-8070027,"QQC8+62V, The Coastal Rd",طبيب
غريان,,52C9+P97,فندق
شركة رياض ليبيا فرع الحشان,218 91-2177759,"V6FV+92F، Unnamed Road",متجر
شركة دار المزاد لاستيراد السيارات,218 91-5605711,"الشارع االرابط بين شارع سناء، شارع الهلال",متجر
شركة الأفاق لأستيراد السيارات,218 91-5696788,"الليثي،",متجر
شركة الكشر لتجارة الإطارات والنضائد,,"FH3J+H82, طريق المتلت",متجر إطارات
شركة جلنار لاستيراد الاثاث والمطابخ,218 91-3151206,زناته الجديده,متجر أثاث
شركة الدسر للاثاث,218 91-3742994,طريق زناتة الجديد,متجر أثاث
شركة الصندل لأستيراد الاثاث,218 91-7211888,"V4GM+299، Unnamed Road،",متجر أثاث
أبوشاقور غريان,218 91-8414225,"السقائف،",متجر أثاث
مركز أسامة للهاتف المحمول,218 91-3242422,"بجوار فندق البركه، شارع سناء، شارع التضامن",متجر أجهزة إلكترونية
شركة ميزة للاستيراد والتصدير,218 91-7333191,"Abu Menjel, Shari al-Masira al-Kubra",متجر أجهزة إلكترونية
شركة التفوق الدائم لاستيراد الاجهزة الكهربائية والاثاث,218 91-8090838,"V6MC+WC9، Al jala'a street",متجر أجهزة إلكترونية
شركة الوسيلة لبيع الاجهزة الكهربائية و الاثاث,218 91-8790534,24V8+CCR,متجر أجهزة إلكترونية
شركة الضيافة لاستيراد الاجهزة الالكترونية الوكيل المعتمد,218 92-7001000,طريق الشط الرئيسي مقابل النادي البحري سابقا,متجر أجهزة إلكترونية
باشاغا للثريات,218 94-5346380,9496+GF4,متجر أجهزة إلكترونية
Lion Star Company,218 94-5551355,,متجر أجهزة إلكترونية
شركه المتجدد لاستيراد المواد الكهرو منزليه,,"FH6G+C77، شارع التحرير، زليتن،، زليتن،، زليتن،",متجر أجهزة إلكترونية
شركة المساعد الثقنى لخدمات الحاسب الالى ونقاط البيع,,"V5RW+6F7، شارع النخلة، طرابلس،",متجر أجهزة كمبيوتر
مجموعة السواعد لاستيراد الأخشاب والصناعات الخشبية,218 91-0610011,طريق النقل الثقيل,متجر أخشاب
عبر العالم لبيع الاخشاب,218 91-3112137,"V7MC+F2G، طريق عرادة",متجر أخشاب
شركة البرق لاستيراد أجهزة الحاسب الالي والقرطاسية والادوات المكتبية,218 21-3334772,,متجر أدوات مكتبية
شركة الصاري لاستيراد القرطاسية والمعدات المكتبيه,218 91-2139372,"FHG6+H2Q، شارع الحرية",متجر أدوات مكتبية
الأخوة لاستيراد القرطاسية والمعدات المكتبية,,"V5QQ+XR، طرابلس،،",متجر أدوات مكتبية
Whole Sale Pharmacies,,"V429+C7X, Alkabeer Rd",متجر أدوية بالجملة
شركة التفاوت الدولية,218 91-3440007,"V6GQ+HQR, Unnamed Road",متجر دراجات بخارية
شركة الجيد لإستيراد المواد الغذائية,218 91-0740400,الكريمية ليبيا خلة العنب,متجر سلع منزلية
شركة سيلوز لأستيراد الأطقم والمواد الصحية Seluz,218 91-3100571,الطريق الساحلي,متجر سلع منزلية
BLUM,218 91-4455544,Jamaa Assaqaa Rd,متجر سلع منزلية
شركة افريقيا للمجمدات,218 91-6606818,"Q68Q+MQ4، شارع انتلات",متجر سلع منزلية
شركة كزيوني ليبيا,218 91-9556409,94P3+XRH,متجر سلع منزلية
اللبة الأثاث المنزلي والتحف,218 91-9906161,"المهاجرين، طرابلس،،، طرابلس،",متجر سلع منزلية
محل دريد للمواد المنزلية,218 92-2494267,شارع الخرطوم,متجر سلع منزلية
شركة البيت الانيق لإستيراد الاثاث المنزلي و الجلسات والستائر,218 92-8280824,"9HFJ+XW، زليتن،،",متجر سلع منزلية
شركة الرنا لأستيراد المواد المنزلية,218 94-5965442,"R4R8+58J، الطريق الدائري الثالث، طرابلس،",متجر سلع منزلية
شركة أبناء القاضي لاستيراد طيور واسماك الزينه ومستلزماته,,V6RJ+QQJ,متجر طيور
العالمية لمعدات المطاعم والمقاهي,218 91-0915415,"V7V3+P97، عقبة بن نافع،",متجر عمومي
Al Sahel Company for Vegetables and Fruits,218 92-8817522,"W63M+X6M، طريق الترسانة،",متجر فواكه وخضروات
شركة كيان الذهبية لاستيراد قطع غيار السيارات الألمانية,218 91-1100555,الرياضية / نادي الاهلي,متجر قطع غيار سيارات
"شركة الوسن ، لإستيراد قطع الغيار",218 91-2094747,"V595+364، Unnamed Road",متجر قطع غيار سيارات
شركة الصقور المتشابهة لقطع غيار السيارات اليابانية,218 91-2114620,"V585+WCC، Unnamed Road, طرابلس،",متجر قطع غيار سيارات
شركة شاكونه لإستيراد قطع غيار السيارات الألمانية,218 91-2201633,"V44V+J5H، الحي الصناعي،",متجر قطع غيار سيارات
شركة المصدر الأول لاستيراد قطع غيار السيارات الكورية,218 91-5119933,"43JJ+VP9، بنغازي،",متجر قطع غيار سيارات
مجمع بن موسى لإستراد المحركات جملة_قطاعي,218 91-5619007,"FG26+392، طـــــريق المصـنــــــع",متجر قطع غيار سيارات
شركة الرافدة لاستيراد قطع غيار السيارات,218 91-5746035,"الطيارة، المنطقة الصناعية قرب جزيرة",متجر قطع غيار سيارات
ابناء بن سعيد لي استراد قطع غيار السيارات الكورية الجديدة والمستعملة,218 91-6640601,"V7M3+4F6، Unnamed Road،،،",متجر قطع غيار سيارات
احميده الظافري لقطع غيار السيارات,218 91-6754055,"PPXR+6HP، سوق العرب، البيضاء،",متجر قطع غيار سيارات
شركة فردوسي التجارية,218 91-7317311,كرزاز,متجر قطع غيار سيارات
شركة اطلس لاستيراد سيارات الامريكية وقطع غيرها,218 91-9803312,FFMP+G39,متجر قطع غيار سيارات
Auto ram اوتو رام البيضاء,218 92-3262509,"حي السوق القديم،،",متجر قطع غيار سيارات
Alsafnat company to import auto parts,218 92-4598060,84W6+793,متجر قطع غيار سيارات
محل النهضة لقطع غيار السيارات,218 92-5360640,"شارع المشروب، طرابلس،",متجر قطع غيار سيارات
هروس لقطع غيار السيارات,218 92-6194322,"V7J2+VC7، سوق الجمعة،",متجر قطع غيار سيارات
شركة طريق الأمل لقطع الغيار,218 92-6703936,V584+FP5,متجر قطع غيار سيارات
Ocean Auto Parts- المحيط لقطع غيار السيارات,,شارع,متجر قطع غيار سيارات
محل الظافري لقطع غيار الاستيراد,,QP4Q+H32,متجر قطع غيار سيارات
شركة محرك طرابلس لقطع غيار السيارات,,"V587+P4R، طريق غريان، طرابلس،",متجر قطع غيار سيارات
بادي لقطع غيار السيارات الألمانية المستعملة,,846J+P9J,متجر لقطع غيار سيارات السباق
المتجر الرياضي,,"طريق قصر أحمد، مصراتة‎،، 9597+VWF، مصراتة‎،",متجر للفيتامينات والمكملات الغذائية
