,,United Arab Emiratess exports to Egypt,,,Egypt's imports from world,,,,United Arab Emiratess exports to world,,,
Product code,Product label,Value in 2020,Value in 2021,Value in 2022,,Value in 2020,Value in 2021,Value in 2022,,Value in 2020,Value in 2021,Value in 2022
731589,"Chain of iron or steel (excl. articulated link chain, skid chain, stud-link chain, welded link ...",9,80,,,1272,598,441,,925,1119,204
382549,"Waste organic solvents, non-halogenated",0,0,,,,,,,0,0,1
382712,"Mixtures containing hydrobromofluorocarbons ""HBFCs""",0,0,,,0,0,1913,,0,0,1
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms",95616,241270,,,247890,536466,867736,,1516204,1913017,2756800
390311,"Expansible polystyrene, in primary forms",164,891,,,43732,55214,55959,,20598,56006,7444
390422,"Plasticised poly""vinyl chloride"", in primary forms, mixed with other substances",1548,1300,,,22298,18669,21045,,28412,42677,7450
390521,"Vinyl acetate copolymers, in aqueous dispersion",490,0,,,3681,5491,4289,,12160,17763,2142
390530,"Poly""vinyl alcohol"", in primary forms, whether or not containing unhydrolyzed acetate groups",15,34,,,9274,9910,17798,,1367,867,161
390730,"Epoxide resins, in primary forms",988,6285,,,16518,29698,22664,,28888,49446,12935
390799,"Saturated polyesters in primary forms (excl. polycarbonates, alkyd resins, poly""ethylene terephthalate"" ...",2030,3087,,,19744,25319,21202,,17361,24235,15338
390810,"Polyamides-6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms",0,0,,,9358,10434,10286,,713,1288,223
391510,"Waste, parings and scrap, of polymers of ethylene",0,0,,,821,38,892,,243,62,4809
391590,"Waste, parings and scrap of plastics (excl. that of polymers of ethylene, styrene and vinyl ...",0,8,,,6837,4952,7017,,2036,189,7936
391721,"Rigid tubes, pipes and hoses, of polymers of ethylene",683,7543,,,1501,10338,16650,,20468,20566,44069
392071,"Plates, sheets, film, foil and strip, of non-cellular regenerated cellulose, not reinforced, ...",0,0,,,0,3,20,,48,26,381
392113,"Plates, sheets, film, foil and strip, of cellular polyurethanes, unworked or merely surface-worked ...",1592,1734,,,263,301,616,,32715,35329,14426
392190,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",7692,15047,,,154721,176425,201627,,124839,139795,56898
392290,"Bidets, lavatory pans, flushing cisterns and similar sanitary ware, of plastics (excl. baths, ...",100,95,,,3351,5662,13591,,9238,10865,1116
392310,"Boxes, cases, crates and similar articles for the conveyance or packaging of goods, of plastics",279,284,,,13657,14323,13284,,15530,29335,9024
392410,"Tableware and kitchenware, of plastics",894,1016,,,17674,19619,7452,,178938,188829,24346
400249,"Chloroprene ""chlorobutadiene rubber, CR"", in primary forms or in plates, sheets or strip (excl. ...",14,172,,,641,1423,1098,,1850,2308,208
400259,"Acrylonitrile-butadiene rubber ""NBR"", in primary forms or in plates, sheets or strip (excl. ...",25,0,,,777,1085,1487,,1661,642,196
400270,"Ethylene-propylene diene rubber ""EPDM"", non-conjugated, in primary forms or in plates, sheets ...",25,85,,,898,1617,3802,,6938,7410,3368
400829,"Rods, tubes and profile shapes, of non-cellular rubber",366,493,,,2649,2586,1633,,17975,21480,2727
411200,"Leather further prepared after tanning or crusting ""incl. parchment-dressed leather"", of sheep ...",0,0,,,0,1,0,,166,239,266
411330,"Leather further prepared after tanning or crusting ""incl. parchment-dressed leather"", of reptiles,, ...",0,0,,,,,,,1,0,
411390,"Leather further prepared after tanning or crusting ""incl. parchment-dressed leather"", of antelopes, ...",0,0,,,12,2,0,,13,4,131
420100,"Saddlery and harness for any animal, incl. traces, leads, knee pads, muzzles, saddle cloths, ...",0,0,,,205,247,121,,688,865,436
420212,"Trunks, suitcases, vanity cases, executive-cases, briefcases, school satchels and similar containers, ...",530,1168,,,7706,9487,15032,,29107,35438,1402
420299,"Travelling-bags, shopping or tool bags, jewellery boxes, cutlery cases and similar, with outer ...",116,34,,,653,430,211,,6776,6280,1283
420340,"Clothing accessories of leather or composition leather (excl. gloves, mittens and mitts, belts, ...",21,2,,,767,333,688,,1289,2868,140
430230,"Tanned or dressed whole furskins and pieces or cuttings thereof, assembled, without the addition ...",0,0,,,,,,,9,0,6
440312,"Wood in the rough, treated with paint, stains, creosote or other preservatives, non-coniferous ...",0,0,,,0,0,297,,43,2,
440322,"Pine ""Pinus spp."" in the rough, of which the smallest cross-sectional dimension is ...",0,0,,,0,0,30163,,514,20,
440324,"Fir ""Abies spp."" and spruce ""Picea spp."" in the rough, of which the smallest cross-sectional ...",0,0,,,,,,,9,0,
551419,"Woven fabrics containing predominantly, but < 85% synthetic staple fibres by weight, mixed ...",0,0,,,1103,448,0,,1,90,580
551422,"Woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, mixed ...",0,0,,,0,200,811,,247,785,9
551449,"Woven fabrics containing predominantly, but < 85% synthetic staple fibres by weight, mixed ...",0,0,,,491,143,0,,62,44,65
551622,"Woven fabrics containing predominantly, but < 85% artificial staple fibres, mixed principally ...",0,0,,,2,253,583,,6701,11133,
560122,"Wadding of man-made fibres and articles thereof (excl. sanitary towels and tampons, napkins ...",0,2094,,,1922,1745,4505,,55511,54562,11310
560393,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing > 70 ...",0,0,,,5673,4921,4274,,210,214,111
560749,"Twine, cordage, ropes and cables of polyethylene or polypropylene, whether or not plaited or ...",0,57,,,668,248,431,,9721,9562,5644
570390,"Carpet tiles of vegetable textile materials or coarse animal hair, tufted ""needle punched"", ...",3,419,,,19695,33108,9473,,2139,4406,8136
570420,"Floor tiles, of felt, not tufted or flocked, with an area of > 0,3 m² but <= 1 m²",0,0,,,0,0,0,,24,70,201
580219,"Terry towelling and similar woven terry fabrics, of cotton (excluding unbleached, narrow woven ...",0,0,,,117,265,0,,120,198,17
580300,Gauze (excl. narrow woven fabrics of heading 5806),0,0,,,186,105,96,,308,159,20
580710,"Labels, badges and similar articles, of textile materials, in the piece, in strips or cut to ...",876,1355,,,1008,1210,2122,,5023,5740,874
590290,"Tyre cord fabric of high-tenacity viscose rayon yarn, whether or not dipped in rubber or plastic",0,0,,,0,0,138,,19,76,1
590610,"Adhesive tape of rubberised textile fabrics, of a width of <= 20 cm (excl. that impregnated ...",134,190,,,206,273,81,,2448,2351,546
400911,"Tubes, pipes and hoses, of vulcanised rubber (excl. hard rubber), not reinforced or otherwise ...",174,224,,,5051,5889,7884,,12558,15311,2162
10121,Pure-bred breeding horses,0,1,,,0,0,864,,401,1541,3300
10620,"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""",0,0,,,0,20,5,,16,5,19
10632,"Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos""",0,0,,,61,82,78,,106,48,205
10639,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches ...",0,3,,,120,19,23,,5715,2294,437
20110,"Carcases or half-carcases of bovine animals, fresh or chilled",0,0,,,0,134,73,,2615,3675,22
20220,"Frozen bovine cuts, with bone in (excl. carcases and half-carcases)",0,0,,,3328,2584,3834,,722,641,221
20410,Fresh or chilled lamb carcases and half-carcases,0,2,,,0,0,0,,309,423,33
20641,Frozen edible livers of swine,0,0,,,,,,,14,1,
20690,"Frozen edible offal of sheep, goats, horses, asses, mules and hinnies",0,0,,,0,31,121,,70,26,
20752,"Frozen domestic geese, not cut in pieces",0,0,,,,,,,71,38,
20910,"Pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, ...",0,0,,,,,,,0,0,
30199,"Live fish (excl. ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, ...",0,0,,,6,0,0,,2,12,9
30221,"Fresh or chilled lesser or Greenland halibut ""Reinhardtius hippoglossoides, Atlantic halibut ...",0,0,,,0,0,0,,0,0,4
30252,"Fresh or chilled haddock ""Melanogrammus aeglefinus""",0,0,,,,,,,0,0,
30256,"Fresh or chilled blue whiting ""Micromesistius poutassou, Micromesistius australis""",0,0,,,,,,,4,0,
30285,"Fresh or chilled sea bream ""Sparidae""",0,0,,,0,0,0,,35,27,
30314,"Frozen trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, ...",0,0,,,0,0,355,,0,1,
30331,"Frozen lesser or Greenland halibut ""Reinhardtius hippoglossoides"", Atlantic halibut ""Hippoglossus ...",0,0,,,,,,,1,0,8
30341,"Frozen albacore or longfinned tunas ""Thunnus alalunga""",0,0,,,,,,,3,23,16
30485,"Frozen fillets of toothfish ""Dissostichus spp.""",0,0,,,0,0,11,,55,29,
30487,"Frozen fillets of tuna ""of the genus Thunnus"", skipjack or stripe-bellied bonito ""Euthynnus ...",0,0,,,0,0,297,,155,161,99
30542,"Smoked herring ""Clupea harengus, Clupea pallasii"", incl. fillets (excl. offal)",0,0,,,0,0,0,,0,0,
30549,"Smoked fish, incl. fillets (excl. offal, Pacific salmon, Atlantic salmon, Danube salmon, herring, ...",0,0,,,0,0,0,,2,20,284
30579,"Fish fins and other edible fish offal, smoked, dried, salted or in brine (excl. heads, tails, ...",0,0,,,,,,,0,0,201
30619,"Frozen crustaceans, even smoked, fit for human consumption, whether in shell or not, incl. ...",0,0,,,0,11,0,,166,38,708
