Product Code,Product Label,"UAE export to egypt Value in 2022, USD thousands","annual growth uae export to egypt in value between 2018-2022, %, p.a","Share in United Arab Emirates's exports, %",Quantity Uae exported to egypt in 2022 ,Unit value (USD/unit) ,"egypt import from world Value in 2022, USD thousand ","Annual growth in value between 2018-2022, %, p.a. ","egypt Share in world imports, % ",Quantity exported from egypt to world  in 2022 ,Unit value (USD/unit) ,"uae export to world Value in 2022, USD thousand ","Annual growth in value between 2018-2022, %, p.a. ","UAE Share in world exports, % ",Quantity UAE exported to world in 2022 ,Unit value (USD/unit) ,"Estimation of untapped potential trade, USD thousand"
330300,"Perfumes and toilet waters (excl. aftershave lotions, personal deodorants and hair lotions)","3,295",-9,1,59,"55,847","13,000",-18,0,233,"55,794","403,252",34,2,0, ,"5,940"
330410,Lip make-up preparations,3,-77,0,0, ,"1,470",-12,0,23,"63,913","3,818",-15,0,0, ,236
330420,Eye make-up preparations, , , , , ,"1,324",-6,0,19,"69,684","3,769",12,0,"2,232","36,659",-
330430,Manicure or pedicure preparations,210,22,41,10,"21,000","1,937",-5,0,93,"20,828",507,-31,0,0, ,70
330491,"Make-up or skin care powders, incl. baby powders, whether or not compressed (excl. medicaments)",25,60,0,1,"25,000","3,217",2,0,77,"41,779","5,857",14,0,0, ,-
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), . . .","1,028",-32,2,36,"28,556","30,701",-7,0,"1,075","28,559","65,585",9,0,0, ,"2,890"
330510,Shampoos,"1,173",-23,5,207,"5,667","9,082",-12,0,"1,602","5,669","24,744",-1,0,0, ,"4,277"
330520,Preparations for permanent waving or straightening,83,17,10,10,"8,300",253,-30,0,30,"8,433",824,2,0,0, ,"1,171"
330530,Hair lacquers,1, ,0,0, ,140,-33,0,21,"6,667",324,2,0,0, ,82
330590,"Preparations for use on the hair (excl. shampoos, preparations for permanent waving or straightening . . .",345,-18,1,36,"9,583","12,067",-8,0,"1,265","9,539","29,589",8,0,0, ,"5,111"
330610,"Dentifrices, incl. those used by dental practitioners", , , , , ,582,-30,0,78,"7,462","17,301",5,0,"19,599","3,668",864
330620,"Yarn used to clean between the teeth ""dental floss"", in individual retail packages", , , , , ,125,-4,0,6,"20,833",22,-19,0,273,"18,059",3
330690,"Preparations for oral or dental hygiene, incl. denture fixative pastes and powders (excl. dentifrices . . .",1, ,0,0, ,"1,361",-8,0,0, ,"4,790",24,0,0, ,161
330710,"Shaving preparations, incl. pre-shave and aftershave products",52, ,6,7,"7,429","1,029",-4,0,147,"7,000",914,10,0,0, ,141
330720,Personal deodorants and antiperspirants,25,-48,0,3,"8,333","8,997",-19,0,985,"9,134","27,812",-4,1,0, ,"8,696"
330730,Perfumed bath salts and other bath and shower preparations,233,-9,5,49,"4,755",391,-14,0,83,"4,711","4,987",31,1,0, ,124
330741,Agarbatti and other odoriferous preparations which operate by burning, , , , , ,447,-9,0,75,"5,960","3,926",18,1,0, ,591
330749,"Preparations for perfuming or deodorising rooms, incl. odoriferous preparations used during . . .",32,-21,0,4,"8,000",624,-21,0,75,"8,320","9,253",15,0,"5,059","7,624",-
330790,"Depilatories and other perfumery, toilet or cosmetic preparations, n.e.s.", , , , , ,"5,569",-12,0,523,"10,648","10,701",39,0,0, ,"2,039"
340111,"Soap and organic surface-active products and preparations, in the form of bars, cakes, moulded . . .", , , , , ,644,-39,0,227,"2,837","12,700",-20,0,0, ,-
340119,"Soap and organic surface-active products and preparations, in the form of bars, cakes, moulded . . .","1,339",-16,36,551,"2,430","2,047",-11,0,842,"2,431","3,671",-11,0,0, ,-
340120,"Soap in the form of flakes, granules, powder, paste or in aqueous solution","12,224",5,65,"5,635","2,169","22,285",-8,1,"10,273","2,169","18,700",6,1,"55,804","1,277",-
340130,"Organic surface-active products and preparations for washing the skin, in the form of liquid . . .", , , , , ,"2,336",-3,0,559,"4,179","15,059",35,0,"24,964","4,403",401
340211,"Anionic organic surface-active agents, whether or not put up for retail sale (excluding soap)",859,110,1,349,"2,461","15,628",-26,0,"6,229","2,509","66,119",50,2,"22,784","1,892","1,434"
340212,"Cationic organic surface-active agents, whether or not put up for retail sale (excluding soap)",383, ,87,102,"3,755","4,277",4,1,"1,142","3,745",440,-3,0,0, ,-
340213,"Non-ionic organic surface-active agents, whether or not put up for retail sale (excluding soap)", , , , , ,"34,542",-7,1,"10,089","3,424","7,051",12,0,0, ,"4,290"
340219,"Organic surface-active agents, whether or not put up for retail sale (excluding anionic, cationic . . .",2,-49,0,1,"2,000","5,003",-13,0,"2,026","2,469","2,945",1,0,0, ,645
340220,"Surface-active preparations, washing preparations, auxiliary washing preparations and cleaning . . .","1,125",-26,13,504,"2,232","10,878",-24,0,"4,874","2,232","8,546",-13,0,0, ,525
340290,"Surface-active preparations, washing preparations, incl. auxiliary washing preparations and . . .",460,-46,3,147,"3,129","25,837",-24,0,"8,272","3,123","15,879",15,0,0, ,"2,479"
340311,Textile lubricant preparations and preparations of a kind used for the oil or grease treatment . . .,7,-14,0,3,"2,333","1,409",-18,0,516,"2,731","3,109",4,1,371,"2,585",28
340319,"Lubricant preparations, incl. cutting-oil preparations, bolt or nut release preparations, anti-rust . . .","1,720",-10,7,334,"5,150","22,292",-12,0,"4,327","5,152","24,792",31,1,"10,717","4,830",128
340391,Textile lubricant preparations and preparations of a kind used for the oil or grease treatment . . ., , , , , ,"3,933",16,0,"1,376","2,858",88,-33,0,864,"2,483",25
340399,"Lubricant preparations, incl. cutting-oil preparations, bolt or nut release preparations, anti-rust . . .",24,-27,0,3,"8,000","10,627",-7,0,"1,487","7,147","23,871",20,0,"7,758","7,972",325
340420,"Poly""oxyethylene"" [polyethylene glycol] waxes", , , , , ,"4,003",2,1,"1,559","2,568",29,-10,0,"8,853","1,173",-
340490,"Artificial waxes and prepared waxes (excl. poly""oxyethylene"" [polyethylene glycol] waxes)",44, ,0,12,"3,667","11,589",10,0,"3,180","3,644","9,962",42,0,"6,604","3,645",262
340510,"Polishes, creams and similar preparations, for footwear or leather, whether or not in the form . . .", , , , , ,"2,148",0,1,268,"8,015",109,-4,0,"1,004","5,025",53
340520,"Polishes, creams and similar preparations, for the maintenance of wooden furniture, floors . . .",18,-2,20,5,"3,600",137,-3,0,36,"3,806",88,22,0,341,"4,419",5
340530,"Polishes and similar preparations for coachwork, whether or not in the form of paper, wadding, . . .", , , , , ,632,-9,0,77,"8,208",233,23,0,"1,131","5,739",62
340540,"Scouring pastes and powders and other scouring preparations, whether or not in the form of . . .", , , , , ,188,-19,0,0, ,27,34,0,580,"2,545",-
340590,"Glass or metal polishes, whether or not in the form of paper, wadding, felt, nonwovens, cellular . . .",16,-62,4,2,"8,000","2,019",-24,0,312,"6,471",388,-8,0,"1,494","4,982",132
340600,"Candles, tapers and the like", , , , , ,"1,297",11,0,294,"4,412",526,19,0,0, ,-
340700,"Modelling pastes, incl. those put up for children's amusement; preparations known as ""dental . . .", , , , , ,"2,184",-15,0,0, ,11,-48,0,"2,555","6,484",8
350110,Casein, , ,0, , ,"9,234",-4,0,850,"10,864", , , ,39,"10,077",
350190,Caseinates and other casein derivatives; casein glues (excl. those put up for retail sale as . . ., , , , , ,28,6,0,2,"14,000",2,-79,0,67,"31,925",2
350211,"Egg albumin, dried ""e.g. in sheets, scales, flakes, powder""", , , , , ,"1,217",16,0,99,"12,293",1,-30,0,86,"13,767",
350219,"Egg albumin (excl. dried [e.g. in sheets, scales, flakes, powder])", , , , , ,0, ,0, , ,22,0,0,212,"3,212",
350220,"Milk albumin ""lactalbumin"", incl. concentrates of two or more whey proteins containing by weight . . .", , , , , ,"1,813",12,0,152,"11,928",292,160,0,205,"11,532",2
350290,"Albumins, albuminates and other albumin derivatives (excl. egg albumin and milk albumin [incl. . . .", , , , , ,19,-31,0,2,"9,500",17,21,0,0, ,
350300,"Gelatin, whether or not in square or rectangular sheets, whether or not surface-worked or coloured, . . .", , , , , ,"8,744",0,0,"1,138","7,684",19,-11,0,"1,647","7,733",165
350400,"Peptones and their derivatives; other protein substances and their derivatives, n.e.s.; hide . . .", , , , , ,"10,069",-1,0,"1,259","7,998",72,121,0,894,"6,247",14
350510,"Dextrins and other modified starches, e.g. pregelatinised or esterified starches",59,-36,2,39,"1,513","17,680",1,0,"11,584","1,526","2,978",29,0,"23,630","1,154",-
350520,"Glues based on starches, dextrins or other modified starches (excl. those put up for retail . . .", , , , , ,366,-14,0,299,"1,224",367,-16,0,580,"1,290",54
350610,"Products suitable for use as glues or adhesives put up for retail sale as glues or adhesives, . . .",44,-29,1,0, ,"6,832",-8,0,0, ,"4,097",20,0,"8,133","5,780",225
350691,Adhesives based on polymers of headings 3901 to 3913 or on rubber (excl. put up for retail . . .,401,-20,7,88,"4,557","23,754",1,0,"5,215","4,555","5,452",-7,0,"32,163","2,628",510
350699,"Glues, prepared, and other prepared adhesives, n.e.s.",312,19,8,68,"4,588","12,627",-8,1,"2,745","4,600","3,800",0,0,"4,689","3,163",920
350710,Rennet and concentrates thereof, , ,0, , ,"1,468",13,1,130,"11,292", , , ,11,"42,727",
350790,"Enzymes and prepared enzymes, n.e.s. (excl. rennet and concentrates thereof)",26,-41,3,0, ,"43,803",6,1,0, ,853,-11,0,"1,831","8,881",506
360200,Prepared explosives (excl. propellent powders), , , , , ,"8,020",11,1,0, ,23, ,0,383,"7,608",12
360300,Safety fuses; detonating fuses; percussion or detonating caps; igniters; electric detonators . . ., , ,0, , ,"2,109",-38,0,0, , , , ,0, ,3
360410,Fireworks, , , , , ,0, ,0, , ,1, ,0,201,"14,517",
360490,"Signalling flares, rain rockets, fog signals and other pyrotechnic articles (excl. fireworks . . .", , , , , ,70,-30,0,0, ,1,-33,0,90,"39,622",
360500,Matches (excl. pyrotechnic articles of heading 3604), , , , , ,"1,244",-9,1,419,"2,969",168,-3,0,0, ,74
360610,Liquid or liquefied-gas fuels in containers of a kind used for filling or refilling cigarette . . ., , , , , ,411, ,0,106,"3,877",95,-16,0,0, ,1
360690,"Ferro-cerium and other pyrophoric alloys in all forms; metaldehyde, hexamethylenetetramine . . .", , , , , ,0, ,0, , ,"1,662",-7,1,517,"1,153",-
370110,"Photographic plates and film in the flat, sensitised, unexposed, for X-ray (excl. of paper, . . .",160,66,14,6,"26,667","11,746",-2,2,416,"28,236","1,108",25,0,0, ,83
370120,"Instant print film in the flat, sensitised, unexposed, whether or not in packs", , , , , ,81,-11,0,1,"81,000",401,31,0,0, ,-
370130,"Photographic plates and film in the flat, sensitised, unexposed, with any side > 255 mm",2,-44,4,0, ,"11,690",-4,0,"1,346","8,685",53,-5,0,0, ,99
370199,"Photographic plates and film in the flat for monochrome photography, sensitised, unexposed, . . .", , , , , ,478,4,0,4,"119,500",28,2,0,0, ,-
370210,"Photographic film in rolls, unexposed, for X-ray (excl. of paper, paperboard or textiles)", , , , , ,"1,265",-1,1,32,"39,531",10,-39,0,0, ,20
370231,"Photographic film ""incl. instant print film"", in rolls, sensitised, unexposed, without perforations, . . .", , , , , ,0, ,0, , ,7,49,0,0, ,
370239,"Photographic film ""incl. instant print film"", sensitised, in rolls, unexposed, without perforations, . . .", , , , , ,0, ,0, , ,1,-32,0,0, ,
370241,"Photographic film ""incl. instant print film"", sensitised, in rolls, unexposed, without perforations, . . .", , , , , ,0, ,0, , ,18,-30,0, , ,
370243,"Photographic film ""incl. instant print film"", sensitised, in rolls, unexposed, without perforations, . . .", , , , , ,123,-48,0,3,"41,000",23,31,0,0, ,
370244,"Photographic film ""incl. instant print film""m, sensitised, in rolls, unexposed, without perforations, . . .", , ,0, , ,121,4,0,0, , , , ,0, ,
370252,"Photographic film, sensitised, in rolls, unexposed, with perforations, for colour photography . . .", , ,0, , ,33, ,0,0, , , , ,0, ,
370297,"Photographic film, sensitised, in rolls, unexposed, with perforations, for monochrome photography, . . .", , ,0, , ,5, ,0,0, , , , ,0, ,
370298,"Photographic film, sensitised, in rolls, unexposed, with perforations, for monochrome photography, . . .", , , , , ,0, ,0, , ,1,-87,0,0, ,
370310,"Photographic paper, paperboard and textiles, sensitised, unexposed, in rolls > 610 mm wide", , , , , ,25,-45,0,4,"6,250",169,-23,0,0, ,-
370320,"Photographic paper, paperboard and textiles, sensitised, unexposed, for colour photography . . .", , , , , ,"1,619",-20,1,227,"7,132",344,-16,0,0, ,466
370390,"Photographic paper, paperboard and textiles, sensitised, unexposed, for monochrome photography . . .", , , , , ,219,7,0,10,"21,900",285,5,1,0, ,
370400,"Photographic plates, film, paper, paperboard and textiles, exposed but not developed", , , , , ,2,-69,0,0, ,637,-8,2,0, ,-
370500,"Photographic plates and film, exposed and developed (excl. products made of paper, paperboard . . .", , , , , ,3, ,0,0, ,91,80,0,0, ,
370610,"Cinematographic film, exposed and developed, whether or not incorporating soundtrack or consisting . . .", , , , , ,0, ,0, , ,6,-26,0,0, ,
370710,"Sensitising emulsions ""for photographic uses""", , , , , ,420,-7,0,0, ,17,-4,0,29,"7,724",
370790,"Preparation of chemicals for photographic uses, incl. unmixed products put up in measured portions . . .",1,15,0,0, ,"5,169",-11,0,187,"27,642",779,-11,0,"2,106","5,721",-
380110,"Artificial graphite (excl. retort graphite, retort carbon and goods of artificial graphite, . . .", , , , , ,733,-17,0,162,"4,525","10,453",72,0,"3,378","1,190",-
380120,Colloidal or semi-colloidal graphite, , , , , ,25,-20,0,6,"4,167",70,-76,0,28,"7,036",
380130,Carbonaceous pastes for electrodes and similar pastes for furnace linings, , , , , ,"3,164",-23,1,"2,535","1,248",288,40,0,"6,613","1,136",
380190,"Preparations based on graphite or other carbon in the form of pastes, blocks, plates or other . . .", , , , , ,95,-21,0,0, ,"2,547",43,0,"1,079","2,420",8
380210,"Activated carbon (excl. medicaments or deodorant products for fridges, vehicles etc., put up . . .", , , , , ,"7,672",7,0,"2,561","2,996",316,9,0,"6,643","2,381",29
380290,"Activated kieselguhr and other activated natural mineral products; animal black, whether or . . .", , , , , ,"5,398",2,1,"7,276",742,87,-34,0,"4,837",795,64
380300,"Tall oil, whether or not refined", , , , , ,254,43,0,0, ,83,147,0,145,"2,028",1
380400,"Residual lyes from the manufacture of wood pulp, whether or not concentrated, desugared or . . .", , , , , ,"22,237",16,4,"34,599",643,207,22,0,"4,160",579,963
380510,"Gum, wood or sulphate turpentine oils", , , , , ,191,-26,0,61,"3,131",111,467,0,37,"1,892",-
380590,Crude dipentene; sulphite turpentine and other crude para-cymene; terpenic oils produced by . . ., , ,0, , ,"1,363",-16,2,257,"5,304", , , ,892,"5,841",70
380610,Rosin and resin acids, , , , , ,"1,211",1,0,585,"2,070",9,10,0,"1,729","1,873",-
380620,"Salts of rosin, of resin acids or of derivatives of rosin or resin acids (excl. salts of rosin . . .", , ,0, , ,100,-32,0,29,"3,448", , , , , ,
380630,Ester gums, , ,0, , ,"8,215",2,2,"3,007","2,732", , , ,168,"2,744",
380690,"Derivatives of rosin, incl. salts of rosin adducts, and of resin acids, light and heavy resin . . .", , , , , ,"3,700",24,1,"1,195","3,096",3,-59,0,"1,268","2,626",4
380700,Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewer's pitch and similar . . ., , , , , ,34,-24,0,36,944,477,64,0,1,"54,000",
380852,"DDT ""ISO"" ""clofenotane ""INN"""", in packings of a net weight content <= 300 g", , , , , ,2,-22,0,0, ,27,48,0,2,"53,000",
380859,Goods of heading 3808 containing one or more of the following substances: alachlor (ISO); aldicarb . . ., , , , , ,882,-49,0,0, ,19,-57,0,7,"2,429",
380861,"Goods of heading 3808, containing alpha-cypermethrin ""ISO"", bendiocarb ""ISO"", bifenthrin ""ISO"", . . .", , ,0, , ,374,-4,1,0, , , , ,32,"4,750",
380862,"Goods of heading 3808, containing alpha-cypermethrin ""ISO"", bendiocarb ""ISO"", bifenthrin ""ISO"", . . .", , ,0, , ,403,-28,0,24,"16,792", , , ,63,"9,000",
380869,"Goods of heading 3808, containing alpha-cypermethrin ""ISO"", bendiocarb ""ISO"", bifenthrin ""ISO"", . . .", , , , , ,272,-46,0,19,"14,316",86,-29,0,337,"13,027",
380891,"Insecticides, put up in forms or packings for retail sale or as preparations or articles (excl. . . .", , , , , ,"26,236",-20,0,0, ,"10,599",-5,0,0, ,
380892,"Fungicides, put up in forms or packings for retail sale or as preparations or articles (excl. . . .", , , , , ,"33,079",-21,0,"2,641","12,525","1,814",58,0,"14,548","1,502",
380893,"Herbicides, anti-sprouting products and plant-growth regulators, put up in forms or packings . . .", , , , , ,"25,350",-9,0,"2,608","9,720","4,795",84,0,"1,943","6,130",
380894,"Disinfectants, put up in forms or packings for retail sale or as preparations or articles (excl. . . .",503,-12,8,137,"3,672","17,066",-16,0,"4,634","3,683","6,220",-14,0,"5,906","3,768",
380899,Rodenticides and other plant protection products put up for retail sale or as preparations . . ., , , , , ,765,-14,0,157,"4,873","4,987",77,0,"2,865","3,582",
380910,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs and other products . . .", , , , , ,337,0,0,272,"1,239",16,-40,0,418,"2,196",55
380991,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs, and other products . . .", , , , , ,"16,705",0,0,"5,723","2,919","1,190",21,0,"2,238","2,265",504
380992,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs, and other products . . .", , , , , ,"6,220",-2,1,"3,499","1,778",1,-62,0,"4,707","1,633",5
380993,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs, and other products . . .", , , , , ,"1,622",-4,0,488,"3,324",33,-13,0,218,"4,537",10
381010,"Pickling preparations for metal surfaces; soldering, brazing or welding pastes and powders . . .",137,110,19,0, ,"3,306",-20,0,0, ,736,25,0,"2,475","3,057",34
381090,"Fluxes and other auxiliary preparations for soldering, brazing or welding; preparations of . . .", , , , , ,"2,408",-11,0,555,"4,339",30,-25,0,"1,789","2,139",8
381111,Anti-knock preparations for motor fuels based on lead compounds, , ,0, , ,38,-60,0,0, , , , ,6,"4,667",
381119,Anti-knock preparations for motor fuels (excl. those based on lead compounds), , , , , ,174,-26,0,26,"6,692",818,6,1,664,"3,649",-
381121,Prepared additives for oil lubricants containing petroleum oil or bituminous mineral oil,418,-23,3,94,"4,447","87,301",-14,1,"19,658","4,441","13,115",20,0,"112,411","3,496","5,602"
381129,Prepared additives for oil lubricants not containing petroleum oil or bituminous mineral oil,42, ,1,8,"5,250",748,0,0,138,"5,420","4,452",38,0,"1,030","5,560",303
381190,"Oxidation inhibitors, gum inhibitors, viscosity improvers, anti-corrosive preparations and . . .",495,-13,6,123,"4,024","4,901",-21,0,"1,218","4,024","9,000",2,0,"13,196","2,983","1,179"
381210,Prepared rubber accelerators, , ,0, , ,"7,106",30,1,"1,356","5,240", , , ,908,"4,214",21
381220,"Compound plasticisers for rubber or plastics, n.e.s.", , , , , ,"8,087",18,1,"2,734","2,958","6,018",42,1,"3,647","2,060","1,121"
381231,"Mixtures of oligomers of 2,2,4-trimethyl-1,2-dihydroquinoline ""TMQ""", , , , , ,358,-31,0,118,"3,034",445,-25,0,362,"2,000",
381239,Anti-oxidising preparations and other compound stabilisers for rubber or plastics (excl. mixtures . . .,"1,347",33,18,220,"6,123","26,263",1,1,"4,298","6,111","7,427",19,0,"11,882","4,247",
381300,Preparations and charges for fire-extinguishers; charged fire-extinguishing grenades (excl. . . .,22,-27,2,6,"3,667","5,869",-11,2,"1,707","3,438",907,27,0,"3,645","2,543",543
381400,"Organic composite solvents and thinners, n.e.s.; prepared paint or varnish removers (excl. . . .",631,-21,4,154,"4,097","5,974",-11,0,"1,461","4,089","14,593",4,1,0, ,518
381511,"Supported catalysts with nickel or a nickel compound as the active substance, n.e.s.", , , , , ,"6,384",25,0,388,"16,454",263,-10,0,436,"19,089",31
381512,"Supported catalysts with precious metal or a precious-metal compound as the active substance, . . .", , , , , ,"1,331",5,0,0, ,43,58,0,387,"166,305",5
381519,"Supported catalysts, n.e.s. (excl. with precious metal, a precious-metal compound, nickel or . . .", , , , , ,"7,702",-1,0,0, ,"4,579",96,0,"5,444","18,128",66
381590,"Reaction initiators, reaction accelerators and catalytic preparations, n.e.s. (excl. rubber . . .",161,-13,1,22,"7,318","12,938",-30,0,"1,734","7,461","13,038",60,0,"22,987","2,969",120
381600,"Refractory cements, mortars, concretes and similar compositions, incl. dolomite ramming mix . . .",324,-15,4,290,"1,117","43,714",4,1,"39,058","1,119","8,223",-10,0,"49,304",635,"3,419"
381700,Mixed alkylbenzenes and mixed alkylnaphthalenes produced by the alkylation of benzene and naphthalene . . .,39, ,0,19,"2,053","6,845",205,0,"3,278","2,088","36,372",43,1,"9,846","1,770",654
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, . . .", , , , , ,0, ,0, , ,"1,418",50,0,31,"35,194",
381900,Hydraulic brake fluids and other prepared liquids for hydraulic transmission not containing . . .,125,-10,2,33,"3,788","3,046",-18,0,797,"3,822","8,112",7,1,"4,201","5,383",486
382000,Anti-freezing preparations and prepared de-icing fluids (excl. prepared additives for mineral . . ., , , , , ,"3,039",-15,0,"1,629","1,866","3,767",17,0,0, ,269
382100,"Prepared culture media for the development or maintenance of micro-organisms ""incl. viruses . . .",2, ,0,0, ,231,-14,0,0, ,642,33,0,497,"11,070",
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents . . .",98,90,1,0, ,"14,676",-39,0,0, ,"7,893",1,0,"1,583","88,788","3,397"
382311,"Stearic acid, industrial", , , , , ,"22,847",13,1,"10,970","2,083",3,-60,0,"40,511",391,3
382312,"Oleic acid, industrial", , , , , ,487,-13,0,184,"2,647",554, ,0,"4,424","2,152",2
382313,"Tall oil fatty acids, industrial", , , , , ,906,38,0,445,"2,036",456,286,0,"1,909","2,283",31
382319,"Fatty acids, industrial, monocarboxylic; acid oils from refining (excl. stearic acid, oleic . . .", , , , , ,"6,493",16,0,"3,706","1,752","15,879",87,0,"48,598",602,29
382370,"Fatty alcohols, industrial", , , , , ,"7,138",17,0,"2,231","3,199",58,99,0,"32,111","2,123",2
382410,Prepared binders for foundry moulds or cores,148,-13,82,52,"2,846","44,109",14,8,"15,345","2,874",180,9,0,"5,913","1,022",130
382430,Non-agglomerated metal carbides mixed together or with metallic binders, , , , , ,"12,223",-26,2,217,"56,327",3,24,0,7,"57,286",
382440,"Prepared additives for cements, mortars or concretes","3,155",31,17,"2,119","1,489","39,233",12,2,"26,350","1,489","18,099",-1,1,"18,448","1,799","5,842"
382450,Non-refractory mortars and concretes,363, ,10,779,466,736,89,0,"1,579",466,"3,781",-11,0,"8,014",732,-
382460,Sorbitol (excl. D-glucitol [sorbitol]), , , , , ,"6,384",-33,2,"6,808",938,7,50,0,"2,011",634,85
382471,"Mixtures containing chlorofluorocarbons ""CFCs"", whether or not containing hydrochlorofluorocarbons . . .", , , , , ,"5,300",-9,32,0, ,16,148,1, , ,
382472,"Mixtures containing bromochlorodifluoromethane, bromotrifluoromethane or dibromotetrafluoroethanes",1, ,100,0, ,"18,098",2,98,0, ,1,844,1, , ,
382473,"Mixtures containing hydrobromofluorocarbons ""HBFCs""",1, ,100,0, ,"1,913",2,75,0, ,1,545,0, , ,
382474,"Mixtures containing hydrochlorofluorocarbons ""HCFCs"", whether or not containing perfluorocarbons . . .", , , , , ,167,-50,1,0, ,245,96,4,0, ,
382475,Mixtures containing carbon tetrachloride, , ,0, , ,3,-79,1,0, , , , , , ,
382476,"Mixtures containing 1,1,1-trichloroethane ""methyl chloroform""", , ,0, , ,88,-51,50,0, , , , , , ,
382477,"Mixtures containing bromomethane ""methyl bromide"" or bromochloromethane", , ,0, , ,459,-35,47,0, , , , , , ,
382478,"Mixtures containing perfluorocarbons ""PFCs"" or hydrofluorocarbons ""HFCs"", but not containing . . .", , , , , ,"3,738",14,0,0, ,154,-2,0,"7,784","4,515",
382479,"Mixtures containing halogenated derivatives of methane, ethane or propane (excluding those . . .",8,-38,2,0, ,"49,475",-16,44,0, ,407,10,1,0, ,
382481,"Mixtures and preparations containing oxirane ""ethylene oxide""",4, ,22,1,"4,000","11,545",1,32,"2,537","4,551",18,"1,939",0,382,"10,874",
382482,"Mixtures and preparations containing polychlorinated biphenyls ""PCBs"", polychlorinated terphenyls . . .", , ,0, , ,"21,232",-4,92,0, , , , , , ,
382483,"Mixtures and preparations containing tris""2,3-dibromopropyl"" phosphate", , ,0, , ,"30,435",-12,92,0, , , , , , ,
382484,"Mixtures and preparations containing aldrin ""ISO"", camphechlor ""ISO"" ""toxaphene"", chlordane . . .", , ,0, , ,"6,388",-7,6,"1,073","5,953", , , ,0, ,
382485,"Mixtures and preparations containing 1,2,3,4,5,6-hexachlorocyclohexane ""HCH ""ISO"""", including . . .", , ,0, , ,222,18,12,0, , , , , , ,
382486,"Mixtures and preparations containing pentachlorobenzene ""ISO"" or hexachlorobenzene ""ISO""",2,15,100,0, ,236,2,13,0, ,2,-15,1, , ,
382487,"Mixtures and preparations containing perfluorooctane sulphonic acid, its salts, perfluorooctane . . .", , ,0, , ,"15,760",144,78,0, , , , ,0, ,
382488,"Mixtures and preparations containing tetra-, penta-, hexa-, hepta- or octabromodiphenyl ethers", , ,0, , ,"1,466",13,11,349,"4,201", , , ,10,"1,500",
382491,"Mixtures and preparations consisting mainly of ""5-ethyl-2-methyl-2-oxido-1,3,2-dioxaphosphinan-5-yl""methyl . . .", , , , , ,640,-51,0,149,"4,295",170,9,0,487,"4,526",
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting . . .","1,903",-52,3,413,"4,608","179,832",-36,0,"39,130","4,596","55,296",4,0,0, ,
382510,Municipal waste, , , , , ,0, ,0, , ,1, ,0, , ,
382549,"Waste organic solvents, non-halogenated", , , , , ,0, ,0, , ,1,-32,0, , ,
382550,"Wastes of metal pickling liquors, of hydraulic fluids, brake fluids and anti-freeze fluids", , , , , ,0, ,0, , ,2,-19,0, , ,
382590,"Residual products of the chemical or allied industries, n.e.s. (excl. waste)", , , , , ,0, ,0, , ,40,-3,0,87,"1,885",
382600,"Biodiesel and mixtures thereof, not containing or containing < 70 % by weight of petroleum . . .", , , , , ,0, ,0, , ,"36,270",77,0,343,"2,157",
390110,"Polyethylene with a specific gravity of < 0,94, in primary forms","33,795",-6,4,"18,079","1,869","263,311",-9,1,"140,861","1,869","963,047",12,3,"63,275","1,570","25,606"
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms","246,798",24,9,"147,017","1,679","867,736",31,2,"516,909","1,679","2,756,800",8,8,"22,145","1,198","32,312"
390130,"Ethylene-vinyl acetate copolymers, in primary forms","1,538",41,32,460,"3,343","61,772",22,1,"18,488","3,341","4,846",17,0,"9,883","3,015",-
390140,"Ethylene-alpha-olefin copolymers, having a specific gravity of < 0,94 , in primary forms","1,061",-51,0,525,"2,021","68,111",28,0,"33,694","2,021","671,089",10,3,"76,972","1,223",
390190,"Polymers of ethylene, in primary forms (excl. polyethylene and ethylene-vinyl acetate copolymers)",182,-54,0,56,"3,250","15,342",15,0,"4,727","3,246","81,192",-7,1,"27,087","2,715",
390210,"Polypropylene, in primary forms","88,012",12,6,"46,764","1,882","551,506",4,2,"293,035","1,882","1,408,487",20,5,"17,194","1,417","38,643"
390220,"Polyisobutylene, in primary forms", , , , , ,"1,742",37,0,629,"2,769","1,352",32,0,"4,613","2,316",-
390230,"Propylene copolymers, in primary forms","41,597",-6,6,"19,602","2,122","226,104",7,1,"106,548","2,122","687,819",10,4,"26,047","2,549","15,517"
390290,"Polymers of propylene or of other olefins, in primary forms (excl. polypropylene, polyisobutylene . . .", , , , , ,"7,224",38,0,"2,034","3,552","11,863",-8,0,"7,825","3,554",123
390311,"Expansible polystyrene, in primary forms","1,067", ,14,410,"2,602","55,959",0,1,"21,496","2,603","7,443",-21,0,"15,909","1,679","2,241"
